地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,10789,252315,118607886,412015690,778488531,342451889,729,45,416,59,235,428,1890,200,17,619,205,259,198,109,128,1491,362,1000,539,270,597,127,283,583,29610,1198,4610,588,3439,6231,42450,10696,337,8019,2694,3362,3883,2578,2630,18206,7597,16652,13266,10396,24338,8295,22019,9221,72258490,11064513,5275372,848691,10951367,13520532,77385977,37571432,2974870,11760312,3863525,7241835,17021270,14319323,8299030,26943961,16852084,38695788,30021666,33953310,80330197,57683413,179218108,20433465
1,13100,,区部,All ku,8256,139203,60084987,150636266,285357756,125759812,497,18,364,45,187,381,1718,153,9,478,199,258,132,90,90,1209,271,692,340,92,339,51,169,474,12680,272,3702,469,1804,5194,37037,8402,219,5714,2447,3354,2570,2039,1361,13913,4022,9838,6779,1637,5941,1067,2591,6151,28345100,x,4384544,700004,3289021,11604908,65634958,28486647,1627630,8388959,3199783,x,10287919,11049747,4995871,20585230,7875229,18466369,16824549,2750421,10358442,2054182,4710884,11939644
2,13101,1,千代田区,Chiyoda-ku,87,1814,815533,2064180,3843881,1650365,-,-,4,-,-,5,67,-,-,1,-,-,-,-,-,1,-,1,1,3,1,-,-,3,-,-,50,-,-,28,1615,-,-,5,-,-,-,-,-,7,-,5,16,18,12,-,-,58,-,-,87620,-,-,26291,3429718,-,-,x,-,-,-,-,-,x,-,x,x,22352,x,-,-,181586
2,13102,2,中央区,Chuo-ku,122,1988,910346,1594927,3554923,1824732,17,-,6,-,-,5,80,1,-,1,1,-,-,-,-,1,-,2,1,1,1,-,-,5,308,-,65,-,-,52,1407,9,-,26,6,-,-,-,-,9,-,14,29,11,6,-,-,46,366438,-,108958,-,-,39353,2761352,x,-,x,x,-,-,-,-,x,-,x,x,x,x,-,-,116016
2,13103,3,港区,Minato-ku,88,1228,544598,1397777,2712162,1219843,10,2,2,-,3,1,47,-,-,1,-,-,3,-,-,4,3,5,-,-,3,1,-,3,259,14,15,-,26,4,631,-,-,7,-,-,61,-,-,39,65,51,-,-,34,4,-,18,220627,x,x,-,36912,x,1039457,-,-,x,-,-,976009,-,-,50206,108125,79347,-,-,82520,x,-,84440
2,13104,4,新宿区,Shinjuku-ku,259,5742,2626578,5375889,10222786,4494713,13,2,12,-,4,15,181,2,-,3,-,-,-,-,-,5,-,1,5,3,3,3,-,7,216,40,114,-,17,203,4684,22,-,45,-,-,-,-,-,59,-,6,99,19,31,118,-,69,316453,x,102426,-,12190,403505,8510246,x,-,73087,-,-,-,-,-,53616,-,x,254431,19712,64809,230324,-,92897
2,13105,5,文京区,Bunkyo-ku,236,5401,2447585,5158528,10174465,4662134,8,-,9,4,1,5,157,3,-,3,-,1,4,-,-,3,-,1,17,-,2,1,1,16,131,-,96,35,7,31,4405,34,-,17,-,56,56,-,-,18,-,6,307,-,28,6,6,162,213148,-,155884,49928,x,21917,8177500,95422,-,17801,-,x,168405,-,-,12389,-,x,612023,-,x,x,x,207134
2,13106,6,台東区,Taito-ku,393,4017,1441591,3821691,6910478,2864066,29,-,32,3,10,30,73,4,-,9,5,73,5,-,2,35,-,4,5,-,7,1,3,63,438,-,283,24,87,303,790,36,-,65,52,803,41,-,16,259,-,38,59,-,51,13,19,640,499210,-,435231,19308,123029,391394,1269198,73658,-,50082,63229,1957030,42185,-,x,238599,-,58824,126600,-,65528,x,17103,1370371
2,13107,7,墨田区,Sumida-ku,731,11946,5352898,10925922,24716338,12829037,31,4,62,3,15,43,133,18,1,39,52,53,10,7,5,133,10,36,5,2,10,1,8,50,440,63,559,24,101,373,2320,3028,14,465,584,819,380,40,41,1282,170,521,34,15,110,10,95,458,929094,98362,1139376,38705,154046,439605,3585565,10215479,x,610354,777390,1755243,618220,101537,100353,1817433,412489,662337,57712,x,174129,x,130353,744137
2,13108,8,江東区,Koto-ku,489,9317,4136583,12820598,25792355,12045795,44,1,15,18,13,34,167,7,3,19,6,2,22,14,5,55,9,17,5,1,10,2,8,12,1965,7,128,222,173,405,3135,504,69,282,58,14,385,285,144,608,112,224,131,47,135,33,146,105,4327160,x,240171,397509,398835,729353,6532788,3511024,x,616572,81162,x,2358916,1608528,875401,1264751,234069,444659,284359,x,263747,x,429888,239517
2,13109,9,品川区,Shinagawa-ku,352,5678,2513011,4732262,9705864,4640710,16,1,3,-,2,6,56,7,-,36,4,1,7,1,5,47,19,63,17,13,26,2,11,9,256,6,33,-,31,59,736,375,-,534,34,8,112,10,54,501,387,1024,317,180,492,21,429,79,284503,x,13361,-,x,84690,976109,943090,-,792566,57304,x,340695,x,70538,677136,842795,1709331,407856,255369,1209750,x,736393,218099
2,13110,10,目黒区,Meguro-ku,129,2472,1153999,2643557,5013030,2210042,17,-,2,1,4,3,10,4,-,7,-,-,1,-,2,19,10,10,8,6,11,2,4,8,409,-,11,4,42,14,149,63,-,52,-,-,20,-,23,327,176,250,186,101,245,41,46,313,713665,-,x,x,103276,13218,335222,158719,-,39257,-,-,x,-,x,553672,285239,501873,209258,288960,481354,x,61582,967125
