地域階層,地域コード,地域,District,総数 Total,宅地 Residential,その他 Other use,その他 Other use／うち屋外利用地 of which are open air,公園等 Parks etc.,未利用地等 Unused land etc.,道路等 Roads and others,道路等 Roads and others／うち道路 of which are roads,農用地 Farm use ,水面河川水路 Water space， rivers and canals ,森林 Woods and forests,原野 Fields
1,13212,日野市,Hino-shi,2741.6,1215.7,103,102.2,145,111.5,444.9,412.3,166.5,85.9,184.5,284.5
1,13213,東村山市,Higashimurayama-shi,1715,952.1,75.4,74.3,99,26.6,263.5,242.8,179.2,17,80.4,21.9
1,13214,国分寺市,Kokubunji-shi,1153.9,681.1,50.5,50.2,31.7,21.4,177.2,165.6,157.9,2.4,27.8,3.9
1,13215,国立市,Kunitachi-shi,815.9,493.5,42.3,40.7,20.7,16.6,149.7,142.5,59.2,9,6.8,18.1
1,13218,福生市,Fussa-shi,1018.4,372.8,371.6,52.6,40.4,11.4,136.2,125.6,19.4,11.5,19,36
1,13219,狛江市,Komae-shi,642.9,367.1,29.1,28.9,23.5,13.4,107.6,104.2,41,18.8,6.8,35.6
1,13220,東大和市,Higashiyamato-shi,1353.2,551,56.9,56.1,89.7,34.2,189.8,186.7,81,151.1,196.4,3.1
1,13221,清瀬市,Kiyose-shi,1012,488.9,36.6,36.5,28.1,24.8,148.4,139.8,222,8.1,37.8,17.3
1,13222,東久留米市,Higashikurume-shi,1289.4,689.6,65.5,65.2,50.2,35.2,211.9,209.4,184.7,7.9,36.1,8.1
1,13223,武蔵村山市,Musashimurayama-shi,1542.9,648.3,159.7,60.6,38.3,78.2,179.3,179.3,215.2,10.1,206.4,7.4
1,13224,多摩市,Tama-shi,2107.3,898.4,71.8,70.7,298.5,77.1,404.4,386.3,43.9,40.5,140.5,132.2
1,13225,稲城市,Inagi-shi,1797,515.7,187.1,58,271.3,124.8,237.4,221.9,148.3,27,214,71.3
1,13227,羽村市,Hamura-shi,995.8,568.4,90.3,48.8,42.4,13.9,148.5,143.3,45.1,24.1,17.8,45.3
1,13228,あきる野市,Akiruno-shi,7342.5,953.2,157.5,104,289.8,121.4,357.4,348.9,494.9,142.2,4556.5,269.6
1,13229,西東京市,Nishitokyo-shi,1590.9,954.3,74.7,74.3,70.9,35.6,263.3,253.2,171.8,4.5,13.7,2.2
0,13300,郡部,All gun,37561.1,1122,592.3,150.9,99.6,109.7,518.5,506.2,672.5,581.8,33703.2,161.6
1,13303,瑞穂町,Mizuho-machi,1683.8,518.7,298.4,77.2,38.8,41.5,169.2,164.3,279.3,5.3,324.5,8
1,13305,日の出町,Hinode-machi,2805.1,329.2,85.2,34,33.8,46.9,108,108,139.5,25.7,1982,54.8
1,13307,檜原村,Hinohara-mura,10537.9,98.5,42.2,12.6,4.6,6.4,88.3,88.3,156.6,50.7,10025.9,64.7
1,13308,奥多摩町,Okutama-machi,22534.3,175.6,166.5,27.1,22.4,14.8,152.9,145.6,97,500.1,21370.9,34
0,13350,島部,All islands,33461.4,1242.7,354.9,255.4,213.2,142.7,1036.9,724.6,1806.6,61.4,21954.6,6648.4
1,13361,大島町,Oshima-machi,9077.7,470.9,96.1,96.1,87.7,16.6,292.3,211.7,392,11.1,5814.4,1896.7
1,13362,利島村,Toshima-mura,403.6,14.6,2.5,2.5,2.9,0.3,17,11.3,9.6,0.1,274.5,81.9
1,13363,新島村,Niijima-mura,2708.6,121.2,84.6,9.4,27.7,12.6,98.5,61.4,81.1,1.5,1909.7,371.7
1,13364,神津島村,Kozushima-mura,1830.6,46.6,11.8,5.2,4.4,7,77.6,33.4,189.4,3.8,1006.6,483.3
1,13381,三宅村,Miyake-mura,5523,152.1,87.3,87.3,3.9,22.4,157.5,115.3,139,25.8,2361.3,2573.8
1,13382,御蔵島村,Mikurajima-mura,2033.8,9.4,1.4,1.3,3.1,0.2,18.5,14.9,29.4,0.6,1706.4,264.8
1,13401,八丈町,Hachijo-machi,6913.3,346.5,31.5,30.4,59.9,68.9,306.1,215.8,837.9,9,4953.6,299.8
1,13402,青ヶ島村,Aogashima-mura,594.6,12.6,6.1,5.2,1,5.5,12.6,10.9,59.1,0.1,338.4,159.2
1,13421,小笠原村,Ogasawara-mura,4376.3,68.9,33.6,18,22.6,9.1,56.8,49.9,69.1,9.3,3589.7,517.2
,,,,,,,,,,,,,,,
東京都統計年鑑 （平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,
1-2  地域別土地利用面積（平成24年又は28年） 1-2  LAND USE BY DISTRICT ( 2012 or 2016 ）,,,,,,,,,,,,,,,
区部は平成28年，市部，郡部，島部は平成24年の調査結果である。,,,,,,,,,,,,,,,
Figures of 2016 for the metropolitan Ku areas and figures of 2012 for the Shi， Gun and Islands districts.,,,,,,,,,,,,,,,
注 1) 地域の「中央防波堤埋立地」は，調査当時所属未定又は確認前の埋立地である。,,,,,,,,,,,,,,,
2) 土地利用区分の凡例   ,,,,,,,,,,,,,,,
その他 ： 採石場， ごみ捨て場等,,,,,,,,,,,,,,,
屋外利用地 ： 材料置場， 屋外駐車場， 屋外展示場， 飯場等,,,,,,,,,,,,,,,
公園等 ： 公園緑地， 運動場， 野球場， 遊園地， ゴルフ場， テニスコート， 墓地等,,,,,,,,,,,,,,,
未利用地等 ： 未建築宅地， 区画整理中の宅地， 取りこわし跡地， 廃屋， 埋め立て地等,,,,,,,,,,,,,,,
道路等 ： 道路， 鉄道， 軌道， モノレール， 空港， 港湾,,,,,,,,,,,,,,,
道路 ： 街路， 歩行者道路， 自転車道路， 農道， 林道， 団地内通路,,,,,,,,,,,,,,,
農用地 ： 田， 畑， 樹園地， 採草放牧地,,,,,,,,,,,,,,,
水面・河川・水路 ： 河川， 運河， 湖沼， 遊水池等,,,,,,,,,,,,,,,
森林 ： 樹林， 竹林，山地，竹木が集団的に生育する土地等,,,,,,,,,,,,,,,
原野 ： 野草地等小かん木類が生育する自然のままの土地， 荒地等,,,,,,,,,,,,,,,
Note: 1) Area that does not fall under any municipality jurisdiction or has not yet been acknowledged by the municipality assembly. ,,,,,,,,,,,,,,,
2) Details of land use category:  ,,,,,,,,,,,,,,,
Other use : Quarries， refuse dumping-grounds， etc.,,,,,,,,,,,,,,,
Open air : Storage space， parking lots， exhibition space， construction camp， etc.,,,,,,,,,,,,,,,
Parks， etc. : Parks， athletic fields， baseball grounds， amusement parks， golf links， tennis courts， cemeteries， etc.,,,,,,,,,,,,,,,
Unused land， etc. : Residential sites prior to construction， residential lands under land readjustment， demolished sites， deserted buildings， reclaimed land， etc.,,,,,,,,,,,,,,,
Roads and others : Roads， railway tracks， monorail tracks， airports， seaports.,,,,,,,,,,,,,,,
Roads : Urban roads， pavements， bicycle roads， farm roads， forest roads， private roads within apartment blocks.,,,,,,,,,,,,,,,
Farm use : Rice paddies， ordinary fields， orchards， grazing lands.,,,,,,,,,,,,,,,
Water space， rivers and canals : Rivers， canals， lakes， ponds， etc.,,,,,,,,,,,,,,,
Woods and forests : Woodlands， bamboo groves， mountainous areas， bamboo forests， etc.,,,,,,,,,,,,,,,
Fields : Grasslands and other uncultivated land with shrubbery， wastelands， etc.,,,,,,,,,,,,,,,
資料：都都市整備局都市づくり政策部土地利用計画課「東京の土地利用」 Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,
地域階層（0:区部・市部・郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
（単位　ヘクタ－ル）(In hectare),,,,,,,,,,,,,,,
