会計,Account,区分 1,Classification 1,区分 2,Classification 2,区分 3,Classification 3,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
病院,Hospital,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,,,171262,171262,160544
病院,Hospital,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,病院事業収益,Hospital,171262,171262,160544
病院,Hospital,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,,,171835,171835,162973
病院,Hospital,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,病院事業費用,Hospital,171835,171835,162973
病院,Hospital,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,3470,3470,6846
病院,Hospital,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,3470,3470,6846
病院,Hospital,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,17767,17767,15756
病院,Hospital,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,17767,17767,15756
中央卸売市場 ,Central Wholesale Market,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,,,21969,21969,19185
中央卸売市場 ,Central Wholesale Market,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,市場事業収益,Market ,21969,21969,19185
中央卸売市場 ,Central Wholesale Market,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,,,27888,35848,26749
中央卸売市場 ,Central Wholesale Market,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,市場事業費,Market ,27888,35848,26749
中央卸売市場 ,Central Wholesale Market,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,2,2,2
中央卸売市場 ,Central Wholesale Market,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,市場資本的収入,Market ,2,2,2
中央卸売市場 ,Central Wholesale Market,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,9449,13137,7616
中央卸売市場 ,Central Wholesale Market,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,市場資本的支出,Market ,9449,13137,7616
都市再開発事業 ,Urban redevelopment,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,,,17,17,3
都市再開発事業 ,Urban redevelopment,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,都市再開発事業収益,Urban redevelopment ,17,17,3
都市再開発事業 ,Urban redevelopment,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,,,16,16,6
都市再開発事業 ,Urban redevelopment,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,都市再開発事業費用,Urban redevelopment ,16,16,6
都市再開発事業 ,Urban redevelopment,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,1476,1476,865
都市再開発事業 ,Urban redevelopment,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,1476,1476,865
都市再開発事業 ,Urban redevelopment,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,1476,1476,611
都市再開発事業 ,Urban redevelopment,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,1476,1476,611
臨海地域開発事業 ,Waterfront area development,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,,,21394,21394,16973
臨海地域開発事業 ,Waterfront area development,収益的収支 ,Operating revenue and expenditure,収入 ,Revenue,開発事業収益,Development,21394,21394,16973
臨海地域開発事業 ,Waterfront area development,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,,,8282,8282,14219
臨海地域開発事業 ,Waterfront area development,収益的収支 ,Operating revenue and expenditure,支出 ,Expenditure,開発事業費用,Development,8282,8282,14219
臨海地域開発事業 ,Waterfront area development,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,5774,5774,6210
臨海地域開発事業 ,Waterfront area development,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,5774,5774,6210
臨海地域開発事業 ,Waterfront area development,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,18330,19629,11850
臨海地域開発事業 ,Waterfront area development,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,18330,19629,11850
