年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,コンクリート Concrete／延長 Length,コンクリート Concrete／面積 Area,高級アスファルト Top-grade asphalt／延長 Length,高級アスファルト Top-grade asphalt／面積 Area,ブロック Blocks／延長 Length,ブロック Blocks／面積 Area,コンクリート平板 Concrete slabs／延長 Length,コンクリート平板 Concrete slabs／面積 Area,簡易 Base-grade asphalt／延長 Length,簡易 Base-grade asphalt／面積 Area,砂利 Gravel roads／延長 Length,砂利 Gravel roads／面積 Area,その他 Others／延長 Length,その他 Others／面積 Area
平成26,2014,0,13000,,総数,Tokyo-to,"24,466,923","185,309,675","547,306","8,576,358","14,567,700","111,672,603","176,218","6,168,537","50,520","2,594,591","6,507,164","42,347,698","2,596,868","5,404,308","21,147","8,545,580"
平成27,2015,0,13000,,総数,Tokyo-to,"24,498,186","186,379,779","547,186","8,731,742","14,633,909","112,436,334","182,471","6,252,092","50,932","2,668,779","6,495,552","42,341,627","2,566,726","5,363,157","21,410","8,586,048"
平成28,2016,0,13000,,総数,Tokyo-to,"24,522,639","187,047,726","545,225","8,788,813","14,783,382","113,267,052","182,374","6,291,686","51,089","2,664,172","6,383,947","41,925,299","2,555,378","5,352,200","21,244","8,758,504"
平成29,2017,0,13000,,総数,Tokyo-to,"24,557,683","187,626,292","545,763","8,778,635","14,841,571","113,713,245","187,553","6,358,346","52,819","2,698,787","6,388,592","41,996,627","2,520,301","5,282,649","21,084","8,798,003"
平成30,2018,0,13000,,総数,Tokyo-to,"24,622,612","188,402,007","548,186","8,841,011","14,906,394","114,197,450","189,662","6,433,326","52,935","2,728,983","6,392,987","42,091,010","2,511,979","5,264,939","20,469","8,845,288"
平成30,2018,1,13100,,区部,All ku,"11,967,937","103,455,206","74,201","3,129,440","8,963,039","71,779,623","141,788","4,680,337","29,354","1,901,074","2,743,929","19,429,758","12,936","45,303","2,690","2,489,671"
平成30,2018,2,13101,1,千代田区,Chiyoda-ku,"175,519","2,784,831",744,"148,835","170,931","2,021,974","3,433","195,157",351,"66,507",-,"236,014",-,-,60,"116,344"
平成30,2018,2,13102,2,中央区,Chuo-ku,"194,342","2,976,037",21,"186,297","186,348","2,054,342","7,364","354,160",78,"65,116",365,"166,438",-,-,166,"149,684"
平成30,2018,2,13103,3,港区,Minato-ku,"303,949","4,393,194","3,512","260,458","293,623","3,110,945","5,477","308,170",990,"66,717",250,"436,502",-,-,97,"210,402"
平成30,2018,2,13104,4,新宿区,Shinjuku-ku,"356,161","3,399,309","9,384","127,005","342,945","2,802,031","3,732","133,226",-,"39,659",100,"199,494",-,-,-,"97,894"
平成30,2018,2,13105,5,文京区,Bunkyo-ku,"207,453","1,953,354","5,220","72,643","195,715","1,637,521","5,835","47,645",683,"28,542",-,"119,320",-,-,-,"47,683"
平成30,2018,2,13106,6,台東区,Taito-ku,"258,486","2,625,536",165,"200,092","213,383","1,856,298","4,244","223,522",-,"74,350","40,694","236,367",-,-,-,"34,907"
平成30,2018,2,13107,7,墨田区,Sumida-ku,"296,931","2,956,858","3,531","61,138","290,422","2,450,602","1,034","106,615",-,"54,268","1,838","224,697",106,218,-,"59,320"
平成30,2018,2,13108,8,江東区,Koto-ku,"395,914","5,740,943","2,215","128,439","382,835","4,382,276","4,676","551,703",-,"71,050","6,105","415,295",-,-,83,"192,180"
平成30,2018,2,13109,9,品川区,Shinagawa-ku,"388,455","3,869,746","3,382","106,587","297,898","2,921,954","2,384","68,041",380,"53,212","80,889","629,633","3,522","9,195",-,"81,124"
平成30,2018,2,13110,10,目黒区,Meguro-ku,"359,120","2,304,685","1,241","46,046","113,858","1,022,912","4,830","63,391",-,"21,811","238,951","1,120,146",-,-,240,"30,379"
平成30,2018,2,13111,11,大田区,Ota-ku,"853,794","7,579,572","10,616","197,503","796,641","6,483,879","30,323","330,186",147,"30,368","15,442","343,182",14,90,611,"194,364"
平成30,2018,2,13112,12,世田谷区,Setagaya-ku,"1,186,233","8,243,790","5,244","626,107","262,027","2,637,948","7,079","72,485",403,"97,288","904,848","4,724,389","6,290","14,538",342,"71,035"
平成30,2018,2,13113,13,渋谷区,Shibuya-ku,"272,489","2,780,864","8,254","88,682","222,008","2,197,070","1,211","63,805",-,"54,575","41,016","305,617",-,-,-,"71,115"
平成30,2018,2,13114,14,中野区,Nakano-ku,"368,539","2,157,015","2,977","37,142","349,142","1,634,968","2,333","46,012",-,"18,056","14,087","402,614",-,-,-,"18,223"
平成30,2018,2,13115,15,杉並区,Suginami-ku,"688,803","4,621,693",854,"71,805","378,405","2,510,025","15,902","663,350",-,"18,466","291,557","1,244,520","1,076","2,785","1,009","110,742"
平成30,2018,2,13116,16,豊島区,Toshima-ku,"308,032","2,369,397",864,"27,726","265,537","1,630,328","5,898","172,778",-,"268,104","35,651","220,277",-,-,82,"50,184"
平成30,2018,2,13117,17,北区,Kita-ku,"375,311","3,002,588","7,304","110,975","288,722","2,077,377","2,203","71,938",-,"81,836","76,691","577,977",391,"8,341",-,"74,144"
平成30,2018,2,13118,18,荒川区,Arakawa-ku,"215,236","1,663,441","1,136","34,019","191,609","1,292,908",580,"52,639",-,"61,450","21,861","178,688",50,787,-,"42,950"
平成30,2018,2,13119,19,板橋区,Itabashi-ku,"740,199","5,847,270","4,819","92,772","297,520","2,944,021","9,172","66,663",-,"28,483","428,688","2,601,654",-,-,-,"113,677"
平成30,2018,2,13120,20,練馬区,Nerima-ku,"1,138,290","7,457,361","1,380","113,881","664,499","4,853,396","9,166","50,668","2,504","65,131","459,746","2,232,600",995,"3,966",-,"137,719"
平成30,2018,2,13121,21,足立区,Adachi-ku,"1,057,236","9,843,455",857,"207,073","1,019,896","6,979,042","3,727","879,915","15,055","341,436","17,332","1,058,711",369,"5,140",-,"372,138"
平成30,2018,2,13122,22,葛飾区,Katsushika-ku,"748,736","5,616,583",481,"62,731","738,030","5,127,679","4,815","42,768","5,287","175,476",-,"135,903",123,243,-,"71,783"
平成30,2018,2,13123,23,江戸川区,Edogawa-ku,"1,078,709","9,267,684",-,"121,484","1,001,045","7,150,127","6,370","115,500","3,476","119,173","67,818","1,619,720",-,-,-,"141,680"
平成30,2018,1,13200,,市部,All shi,"10,356,829","72,686,756","125,142","3,611,853","5,439,177","38,931,004","46,971","1,636,796","23,093","776,188","3,204,749","20,244,380","1,499,921","3,190,814","17,776","4,295,721"
平成30,2018,2,13201,1,八王子市,Hachioji-shi,"1,543,212","14,801,809","21,911","423,768","902,250","8,195,389","27,011","340,483","5,821","63,342","574,500","3,726,967","11,719","44,170",-,"2,007,690"
平成30,2018,2,13202,2,立川市,Tachikawa-shi,"295,952","2,587,464",352,"168,944","117,045","996,337",-,"82,298",978,"93,286","172,560","1,121,103","5,017","14,301",-,"111,195"
平成30,2018,2,13203,3,武蔵野市,Musashino-shi,"148,942","1,152,292",233,"144,106","144,751","760,245","2,306","78,401",891,"17,169",21,"123,971",522,"2,581",218,"25,819"
平成30,2018,2,13204,4,三鷹市,Mitaka-shi,"294,417","1,942,238","1,915","70,976","64,865","528,927","1,011","235,577",-,"7,019","225,600","1,041,086","1,022","3,513",4,"55,140"
平成30,2018,2,13205,5,青梅市,Ome-shi,"934,352","4,740,205","35,685","245,690","402,972","2,952,972",-,"14,924","1,300","26,538","159,324","698,417","335,071","559,992",-,"241,672"
平成30,2018,2,13206,6,府中市,Fuchu-shi,"483,835","3,828,444","2,867","393,691","173,738","1,477,048","1,219","70,944",851,"32,005","291,386","1,697,440","13,744","31,769",30,"125,547"
平成30,2018,2,13207,7,昭島市,Akishima-shi,"256,109","1,851,214","2,060","46,921","224,416","1,248,400",-,"107,551",-,"4,244",-,"321,865","29,633","73,260",-,"48,973"
平成30,2018,2,13208,8,調布市,Chofu-shi,"442,292","2,725,425","2,212","262,567","59,344","648,102",82,"33,076",907,"18,861","330,245","1,631,439","36,092","64,720","13,410","66,660"
平成30,2018,2,13209,9,町田市,Machida-shi,"1,351,682","8,627,245","10,819","194,916","938,805","6,453,813",966,"28,980",-,"112,512","18,621","575,338","382,471","1,022,027",-,"239,659"
平成30,2018,2,13210,10,小金井市,Koganei-shi,"177,991","1,072,237","1,234","73,969","169,366","816,760",423,"23,728",-,"15,698","1,886","97,280","4,920","15,922",162,"28,880"
平成30,2018,2,13211,11,小平市,Kodaira-shi,"271,189","2,035,132",704,"84,963","266,009","1,498,095",-,"102,070",-,"5,139","3,348","305,568","1,118","2,641",10,"36,656"
