年次,Year,総数 Total／一戸建 Detached／戸数 Number,総数 Total／一戸建 Detached／床面積の合計 Total floor space,総数 Total／長屋建 Tenement／戸数 Number,総数 Total／長屋建 Tenement／床面積の合計 Total floor space,総数 Total／共同 Apartment／戸数 Number,総数 Total／共同 Apartment／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／一戸建 Detached／戸数 Number,専用住宅 Exclusive dwellings／一戸建 Detached／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／長屋建 Tenement／戸数 Number,専用住宅 Exclusive dwellings／長屋建 Tenement／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／共同 Apartment／戸数 Number,専用住宅 Exclusive dwellings／共同 Apartment／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／一戸建 Detached／戸数 Number,併用住宅 Multi-use dwellings／一戸建 Detached／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／長屋建 Tenement／戸数 Number,併用住宅 Multi-use dwellings／長屋建 Tenement／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／共同 Apartment／戸数 Number,併用住宅 Multi-use dwellings／共同 Apartment／床面積の合計 Total floor space,その他の住宅 Others／一戸建 Detached／戸数 Number,その他の住宅 Others／一戸建 Detached／床面積の合計 Total floor space,その他の住宅 Others／長屋建 Tenement／戸数 Number,その他の住宅 Others／長屋建 Tenement／床面積の合計 Total floor space,その他の住宅 Others／共同 Apartment／戸数 Number,その他の住宅 Others／共同 Apartment／床面積の合計 Total floor space
平成25,2013,41955,4477565,13060,640546,89547,4964656,41413,4414034,13002,636581,82703,4538677,534,62417,58,3965,6705,401705,8,1114,-,-,139,24274
平成26,2014,37319,3963140,12358,583132,92740,5145260,36853,3908554,12276,578628,87638,4907571,461,54169,82,4504,5076,236130,5,417,-,-,26,1559
平成27,2015,34456,3669279,14076,646910,93446,4933459,34077,3625833,13985,641101,88551,4681643,379,43446,91,5809,4892,251711,-,-,-,-,3,105
平成28,2016,34506,3650255,13558,597728,100211,4902798,34121,3604364,13472,593229,92689,4478796,383,45462,86,4499,7522,424002,2,429,-,-,-,-
平成29,2017,33340,3493450,13929,602387,103081,5427428,32997,3452666,13786,596796,95281,4935379,343,40784,143,5591,7798,491782,-,-,-,-,2,267
,,,,,,,,,,,,,,,,,,,,,,,,,
3-10  着  工  新  設  住  宅  数 （平成25～29年） 3-10  NEW DWELLING CONSTRUCTION STARTS （ 2013-2017 ）,,,,,,,,,,,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル） (Space in ㎡) ,,,,,,,,,,,,,,,,,,,,,,,,,
"　　資料：国土交通省 「住宅着工統計」 Source: Ministry of Land, Infrastructure, Transport and Tourism ",,,,,,,,,,,,,,,,,,,,,,,,,
