年度,Fiscal year,区分,Classification,都バス Toei Bus／使用車両数 Vehicles used(両 vehicles),都バス Toei Bus／走行キロ数 Distance traveled(1000km),都バス Toei Bus／乗車人員 Boarding passengers／総数 Total(千人 in thousands),都バス Toei Bus／乗車人員 Boarding passengers／定期 Commuter Pass(千人 in thousands),都バス Toei Bus／乗車人員 Boarding passengers／普通 Tickets(千人 in thousands),都バス Toei Bus／乗車料収入 Passenger fare／総数 Total(千円 in 1000yen),都バス Toei Bus／乗車料収入 Passenger fare／定期 Commuter Pass(千円 in 1000yen),都バス Toei Bus／乗車料収入 Passenger fare／普通 Tickets(千円 in 1000yen),都バス Toei Bus／燃料消費量 Fuel consumption(kl),都バス Toei Bus／1日1車平均 Average per vehicle per day／走行キロ数 Distance traveled(km),都バス Toei Bus／1日1車平均 Average per vehicle per day／乗車人員 Boarding passengers(人 passengers),都バス Toei Bus／1日1車平均 Average per vehicle per day／乗車料収入 Passenger fare revenue(円 yen)
平成25,2013,,,441007,46821,212025,87857,124168,34610331,12762199,21848132,20782,106,481,78480
平成25,2013,消費税差引後,Exclude consumption tax,,,,,,33386616,12578871,20807745,,,,75705
平成26,2014,,,438369,46682,213504,89359,124145,35488639,13083646,22404993,20444,107,487,80956
平成26,2014,消費税差引後,Exclude consumption tax,,,,,,33532463,12787100,20745363,,,,76494
平成27,2015,,,439140,46775,217135,90644,126491,36049940,13259034,22790906,21520,107,494,82092
平成27,2015,消費税差引後,Exclude consumption tax,,,,,,34045018,12942327,21102691,,,,77516
平成28,2016,,,437194,46594,219009,91580,127429,36337362,13394787,22942575,21581,107,501,83115
平成28,2016,消費税差引後,Exclude consumption tax,,,,,,34310854,13067729,21243125,,,,78466
平成29,2017,,,443289,46239,231212,102883,128329,38125817,15024831,23100986,21212,104,522,86007
平成29,2017,消費税差引後,Exclude consumption tax,,,,,,36075780,14685978,21389802,,,,81382
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (3)　都バスの運輸成績 （平成25～29年度） 4-9  OPERATIONS OF TOEI TRANSPORTATION  (3)  OPERATIONS OF TOEI BUSES ( Fiscal Years 2013-2017),,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
