年次(平成),Year,地域階層,地域コード,地域,District,総数 Total,個人 Individual management,会社 Companies,漁業協同組合 Fishery cooperatives,その他 Others
15,2003,0,13000,総数,Tokyo-to,804,784,7,4,9
20,2008,0,13000,総数,Tokyo-to,669,654,6,6,3
25,2013,0,13000,総数,Tokyo-to,604,591,6,4,3
25,2013,1,13100,区部,All ku ,103,97,6,-,-
25,2013,1,13350,島部,All islands,501,494,-,4,3
25,2013,2,13361,大島町,Oshima-machi,109,107,-,1,1
25,2013,2,13362,利島村,Toshima-mura,20,20,-,-,-
25,2013,2,13363,新島村,Niijima-mura,71,69,-,1,1
25,2013,2,13364,神津島村,Kozushima-mura,92,91,-,-,1
25,2013,2,13381,三宅村,Miyake-mura,52,51,-,1,-
25,2013,2,13382,御蔵島村,Mikurajima-mura,8,8,-,-,-
25,2013,2,13401,八丈町,Hachijo-machi,86,86,-,-,-
25,2013,2,13402,青ヶ島村,Aogashima-mura,8,8,-,-,-
25,2013,2,13421,小笠原村,Ogasawara-mura,55,54,-,1,-
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,
9-5 漁業経営体数 （平成15～25年）9-5 FISHERY MANAGEMENT ENTITIES  ( 2003-2013 ),,,,,,,,,,
各年11月1日現在の「漁業センサス」による。,,,,,,,,,,
Data are based on the Fishery Census taken as of November 1 of the year stated.,,,,,,,,,,
注) 2003年は三宅村を含まず。,,,,,,,,,,
Note: Excluding 2003 year Miyake-mura．,,,,,,,,,,
資料：農林水産省 「2018年漁業センサス」，都総務局統計部産業統計課「2018年漁業センサス東京都分調査結果報告」 Source: Ministry of Agriculture， Forestry and Fisheries; Bureau of General Affairs， TMG,,,,,,,,,,
地域階層(0:東京都総数　1:区部・島部　2:区市町村),,,,,,,,,,
