年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,,,,
平成25,2013,総数,Total,,,,3317344,1962690,1354654,,,,
平成26,2014,総数,Total,,,,3311052,1945108,1365944,,,,
平成27,2015,総数,Total,,,,3391174,1993399,1397776,,,,
平成28,2016,総数,Total,,,,3422984,2013516,1409467,,,,
平成29,2017,総数,Total,,,,3471048,2041568,1429454,,,,
平成29,2017,うち区部,Ku area only,,,,2913179,1685435,1227729,,,,
平成29,2017,東海道本線,Tokaido Line,,,※,713011,423115,289894,,,,
平成29,2017,東海道本線,Tokaido Line,東京,Tokyo,,165180,86204,78976,,,,
平成29,2017,東海道本線,Tokaido Line,有楽町,Yurakucho,,62029,34236,27793,,,,
平成29,2017,東海道本線,Tokaido Line,新橋,Shimbashi,,101252,62911,38341,,,,
平成29,2017,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,57804,35948,21855,,,,
平成29,2017,東海道本線,Tokaido Line,田町,Tamachi,,56544,40229,16314,,,,
平成29,2017,東海道本線,Tokaido Line,品川,Shinagawa,,138177,79116,59061,,,,
平成29,2017,東海道本線,Tokaido Line,大井町,Oimachi,,38110,23259,14851,,,,
平成29,2017,東海道本線,Tokaido Line,大森,Omori,,35106,22705,12401,,,,
平成29,2017,東海道本線,Tokaido Line,蒲田,Kamata,,53160,34875,18284,,,,
平成29,2017,東海道本線,Tokaido Line,西大井,Nishi-oi,,5648,3630,2017,,,,
平成29,2017,中央本線,Chuo Line,,,,761338,463865,297469,,,,
平成29,2017,中央本線,Chuo Line,神田,Kanda,※,37938,21490,16448,,,,
平成29,2017,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,38593,23552,15041,,,,
平成29,2017,中央本線,Chuo Line,水道橋,Suidobashi,※,30489,16156,14332,,,,
平成29,2017,中央本線,Chuo Line,飯田橋,Iidabashi,※,34263,22099,12164,,,,
平成29,2017,中央本線,Chuo Line,市ケ谷,Ichigaya,※,22752,14900,7851,,,,
平成29,2017,中央本線,Chuo Line,四ツ谷,Yotsuya,※,35627,23812,11815,,,,
平成29,2017,中央本線,Chuo Line,信濃町,Shinanomachi,※,9556,4487,5069,,,,
平成29,2017,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,6940,3193,3747,,,,
平成29,2017,中央本線,Chuo Line,代々木,Yoyogi,※,25526,11883,13643,,,,
平成29,2017,中央本線,Chuo Line,大久保,Okubo,※,10002,5130,4872,,,,
平成29,2017,中央本線,Chuo Line,東中野,Higashi-nakano,※,14912,8688,6224,,,,
平成29,2017,中央本線,Chuo Line,中野,Nakano,※,54308,33934,20374,,,,
平成29,2017,中央本線,Chuo Line,高円寺,Koenji,※,18757,10931,7826,,,,
平成29,2017,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,16659,9874,6785,,,,
平成29,2017,中央本線,Chuo Line,荻窪,Ogikubo,※,32664,20119,12545,,,,
平成29,2017,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,16503,9728,6775,,,,
平成29,2017,中央本線,Chuo Line,吉祥寺,Kichijoji,,52309,30057,22252,,,,
平成29,2017,中央本線,Chuo Line,三鷹,Mitaka,,35556,23880,11675,,,,
平成29,2017,中央本線,Chuo Line,武蔵境,Musashi-sakai,,24974,17090,7884,,,,
平成29,2017,中央本線,Chuo Line,東小金井,Higashi-koganei,,11349,7895,3454,,,,
平成29,2017,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,22578,15385,7193,,,,
平成29,2017,中央本線,Chuo Line,国分寺,Kokubunji,,41172,27743,13429,,,,
平成29,2017,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10825,6110,4714,,,,
平成29,2017,中央本線,Chuo Line,国立,Kunitachi,,19759,13142,6617,,,,
平成29,2017,中央本線,Chuo Line,立川,Tachikawa,,60994,33308,27687,,,,
平成29,2017,中央本線,Chuo Line,日野,Hino,,9935,7010,2925,,,,
平成29,2017,中央本線,Chuo Line,豊田,Toyoda,,12718,9069,3649,,,,
平成29,2017,中央本線,Chuo Line,八王子,Hachioji,,31135,17939,13197,,,,
平成29,2017,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11860,8346,3513,,,,
平成29,2017,中央本線,Chuo Line,高尾,Takao,,10684,6915,3768,,,,
平成29,2017,南武線,Nambu Line,,,,44557,28605,15950,,,,
平成29,2017,南武線,Nambu Line,矢野口,Yanokuchi,,3723,2578,1144,,,,
平成29,2017,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2712,1895,817,,,,
平成29,2017,南武線,Nambu Line,南多摩,Minamitama,,2595,1683,912,,,,
平成29,2017,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6371,2907,3463,,,,
平成29,2017,南武線,Nambu Line,分倍河原,Bubaigawara,,14933,9683,5251,,,,
平成29,2017,南武線,Nambu Line,西府,Nishifu,,3741,2695,1045,,,,
平成29,2017,南武線,Nambu Line,谷保,Yaho,,3788,2571,1216,,,,
平成29,2017,南武線,Nambu Line,矢川,Yagawa,,2963,1967,996,,,,
平成29,2017,南武線,Nambu Line,西国立,Nishi-kunitachi,,3731,2625,1106,,,,
平成29,2017,横浜線,Yokohama Line,,,,60611,38611,21999,,,,
平成29,2017,横浜線,Yokohama Line,成瀬,Naruse,,6986,4535,2451,,,,
平成29,2017,横浜線,Yokohama Line,町田,Machida,,41139,25335,15804,,,,
平成29,2017,横浜線,Yokohama Line,相原,Aihara,,3886,2792,1094,,,,
平成29,2017,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6700,4780,1920,,,,
平成29,2017,横浜線,Yokohama Line,片倉,Katakura,,1900,1169,730,,,,
平成29,2017,青梅線,Ome Line,,,,58660,38171,20486,,,,
平成29,2017,青梅線,Ome Line,西立川,Nishi-tachikawa,,2483,1368,1115,,,,
平成29,2017,青梅線,Ome Line,東中神,Higashi-nakagami,,2537,1701,835,,,,
平成29,2017,青梅線,Ome Line,中神,Nakagami,,4151,2830,1321,,,,
平成29,2017,青梅線,Ome Line,昭島,Akishima,,9604,6159,3445,,,,
平成29,2017,青梅線,Ome Line,拝島,Haijima,,11031,7094,3937,,,,
平成29,2017,青梅線,Ome Line,牛浜,Ushihama,,1657,928,729,,,,
平成29,2017,青梅線,Ome Line,福生,Fussa,,5971,3717,2254,,,,
平成29,2017,青梅線,Ome Line,羽村,Hamura,,5071,3420,1651,,,,
平成29,2017,青梅線,Ome Line,小作,Ozaku,,6028,4132,1895,,,,
平成29,2017,青梅線,Ome Line,河辺,Kabe,,4969,3308,1661,,,,
平成29,2017,青梅線,Ome Line,東青梅,Higashi-ome,,2409,1713,696,,,,
平成29,2017,青梅線,Ome Line,青梅,Ome,,2415,1705,709,,,,
平成29,2017,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,沢井,Sawai,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,御嶽,Mitake,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,川井,Kawai,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,古里,Kori,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…,,,,
平成29,2017,青梅線,Ome Line,奥多摩,Okutama,,334,96,238,,,,
平成29,2017,五日市線,Itsukaichi Line,,,,8077,5627,2448,,,,
平成29,2017,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…,,,,
平成29,2017,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1734,1255,479,,,,
平成29,2017,五日市線,Itsukaichi Line,秋川,Akigawa,,2633,1874,759,,,,
平成29,2017,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1145,797,348,,,,
平成29,2017,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,948,654,293,,,,
平成29,2017,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1616,1047,569,,,,
平成29,2017,武蔵野線,Musashino Line,,,,23999,16473,7525,,,,
平成29,2017,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5570,4365,1205,,,,
平成29,2017,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4245,2824,1421,,,,
平成29,2017,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,14184,9283,4900,,,,
平成29,2017,八高線,Hachiko Line,,,,6117,4755,1362,,,,
平成29,2017,八高線,Hachiko Line,北八王子,Kita-hachioji,,3378,2789,589,,,,
平成29,2017,八高線,Hachiko Line,小宮,Komiya,,1130,815,315,,,,
平成29,2017,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…,,,,
平成29,2017,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1609,1150,458,,,,
平成29,2017,東北本線,Tohoku Line,,,※,363154,191207,171945,,,,
平成29,2017,東北本線,Tohoku Line,秋葉原,Akihabara,,91342,42111,49230,,,,
平成29,2017,東北本線,Tohoku Line,御徒町,Okachimachi,,25094,13258,11835,,,,
平成29,2017,東北本線,Tohoku Line,上野,Ueno,,68451,31329,37121,,,,
平成29,2017,東北本線,Tohoku Line,鶯谷,Uguisudani,,9262,4183,5078,,,,
平成29,2017,東北本線,Tohoku Line,日暮里,Nippori,,41416,22916,18500,,,,
平成29,2017,東北本線,Tohoku Line,西日暮里,Nishi-nippori,,36835,22609,14226,,,,
平成29,2017,東北本線,Tohoku Line,田端,Tabata,,17167,9789,7378,,,,
平成29,2017,東北本線,Tohoku Line,上中里,Kami-nakazato,,2813,1763,1050,,,,
平成29,2017,東北本線,Tohoku Line,王子,Oji,,23651,15499,8152,,,,
平成29,2017,東北本線,Tohoku Line,東十条,Higashi-jujo,,8676,5489,3186,,,,
平成29,2017,東北本線,Tohoku Line,赤羽,Akabane,,34986,19951,15035,,,,
平成29,2017,東北本線,Tohoku Line,尾久,Oku,,3463,2310,1153,,,,
平成29,2017,山手線,Yamanote Line,,,※,1033744,570958,462782,,,,
平成29,2017,山手線,Yamanote Line,大崎,Osaki,,60180,39403,20777,,,,
平成29,2017,山手線,Yamanote Line,五反田,Gotanda,,50746,30444,20302,,,,
平成29,2017,山手線,Yamanote Line,目黒,Meguro,,40754,22588,18165,,,,
平成29,2017,山手線,Yamanote Line,恵比寿,Ebisu,,53041,27791,25250,,,,
平成29,2017,山手線,Yamanote Line,渋谷,Shibuya,,135294,70544,64750,,,,
平成29,2017,山手線,Yamanote Line,原宿,Harajuku,,27139,8491,18648,,,,
平成29,2017,山手線,Yamanote Line,新宿,Shinjuku,,284196,150612,133583,,,,
平成29,2017,山手線,Yamanote Line,新大久保,Shin-okubo,,17600,6781,10820,,,,
平成29,2017,山手線,Yamanote Line,高田馬場,Takadanobaba,,77074,47436,29638,,,,
平成29,2017,山手線,Yamanote Line,目白,Mejiro,,13935,8681,5254,,,,
平成29,2017,山手線,Yamanote Line,池袋,Ikebukuro,,206778,119233,87545,,,,
平成29,2017,山手線,Yamanote Line,大塚,Otsuka,,20925,11667,9259,,,,
平成29,2017,山手線,Yamanote Line,巣鴨,Sugamo,,28209,16729,11480,,,,
平成29,2017,山手線,Yamanote Line,駒込,Komagome,,17872,10559,7312,,,,
平成29,2017,埼京線,Saikyo Line,,,※,40850,27230,13619,,,,
平成29,2017,埼京線,Saikyo Line,板橋,Itabashi,,12395,7462,4933,,,,
平成29,2017,埼京線,Saikyo Line,十条,Jujo,,13502,9401,4101,,,,
平成29,2017,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6994,4893,2101,,,,
平成29,2017,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7960,5475,2485,,,,
平成29,2017,常磐線,Joban Line,,,※,129284,91218,38066,,,,
平成29,2017,常磐線,Joban Line,三河島,Mikawashima,,4127,2810,1317,,,,
平成29,2017,常磐線,Joban Line,南千住,Minami-senju,,6201,4063,2138,,,,
平成29,2017,常磐線,Joban Line,北千住,Kita-senju,,79511,58176,21335,,,,
平成29,2017,常磐線,Joban Line,綾瀬,Ayase,,5268,3468,1800,,,,
平成29,2017,常磐線,Joban Line,亀有,Kameari,,15337,9850,5488,,,,
平成29,2017,常磐線,Joban Line,金町,Kanamachi,,18839,12852,5988,,,,
平成29,2017,総武線,Sobu Line,,,※,174876,110003,64872,,,,
平成29,2017,総武線,Sobu Line,両国,Ryogoku,,14515,8504,6011,,,,
平成29,2017,総武線,Sobu Line,浅草橋,Asakusabashi,,19926,12053,7873,,,,
平成29,2017,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6859,4984,1875,,,,
平成29,2017,総武線,Sobu Line,馬喰町,Bakurocho,,9411,6440,2971,,,,
平成29,2017,総武線,Sobu Line,錦糸町,Kinshicho,,38750,21280,17469,,,,
平成29,2017,総武線,Sobu Line,亀戸,Kameido,,21220,13676,7543,,,,
平成29,2017,総武線,Sobu Line,平井,Hirai,,12155,8221,3934,,,,
平成29,2017,総武線,Sobu Line,新小岩,Shin-koiwa,,27946,18929,9017,,,,
平成29,2017,総武線,Sobu Line,小岩,Koiwa,,24093,15914,8179,,,,
平成29,2017,京葉線,Keiyo Line,,,※,52770,31731,21038,,,,
平成29,2017,京葉線,Keiyo Line,八丁堀,Hatchobori,,12515,7410,5105,,,,
平成29,2017,京葉線,Keiyo Line,越中島,Etchujima,,2008,1316,692,,,,
平成29,2017,京葉線,Keiyo Line,潮見,Shiomi,,4842,3292,1549,,,,
平成29,2017,京葉線,Keiyo Line,新木場,Shin-kiba,,28424,16983,11441,,,,
平成29,2017,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4980,2730,2250,,,,
,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-8　JRの駅別乗車人員 (平成25～29年度) 4-8  NUMBER OF PASSENGERS OF EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2013-2017 ),,,,,,,,,,,,,
各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line.,,,,,,,,,,,,,
注 1) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,,
2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。,,,,,,,,,,,,,
