年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業 Wholesale trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／物品賃貸業 (自動車賃貸業を含む) Goods rental and leasing (include automobile rental and leasing),第3次産業総合 Tertiary industry／事業者向け関連サービス Business-related services,第3次産業総合 Tertiary industry／小売業 Retail trade,第3次産業総合 Tertiary industry／不動産業 Real estate,第3次産業総合 Tertiary industry／医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／生活娯楽関連サービス Living and amusement-related services
ウェイト ,Weight,,,10000,139.4,1498.9,496,1690.9,1216.1,382.1,1407.2,711.8,900.5,511.8,1045.4
平成25,2013,平均,Average,102.4,93.4,102.1,104.2,93.1,112.9,94.1,102.6,102.2,105.1,110.5,102.9
平成26,2014,平均,Average,101.8,91.3,103.4,105.7,89.9,114.2,92.5,102.8,101.2,103.7,113,99.2
平成27,2015,平均,Average,103.4,90.1,105,106.6,90,119.6,92.4,103.3,101.9,104.7,117.2,101
平成28,2016,平均,Average,104.5,89.8,106.6,108.7,92.7,119.3,95.2,105.6,99.8,104.9,120.5,99.8
平成29,2017,平均,Average,105.7,89.9,109.2,110,90.9,121.6,96.1,108.6,100.1,105.7,122.9,101.3
平成29,2017,1,Jan.,105.1,88.2,109.3,108.2,92.2,118.7,95.9,108,99.3,106.3,121.4,99.3
平成29,2017,2,Feb.,104.5,85.8,107.5,112.3,91.3,117.7,95.7,108.1,99.1,105.7,121.4,97.8
平成29,2017,3,Mar.,104.1,90.7,106.4,108.3,89.3,117,96,108.8,100.7,105.4,120.4,99.9
平成29,2017,4,Apr.,106.4,90.7,109.3,109.1,91.5,122.1,95.8,110.4,99.7,107.6,121.2,103.7
平成29,2017,5,May,106.4,90.8,110.2,109,90.9,121,95.7,108.3,100,105.6,123.7,108.1
平成29,2017,6,June,105.8,89.9,109,109.4,89.8,120.3,96.6,109.5,100.3,104.6,122.6,106
平成29,2017,7,July,105.9,93.7,111.7,112,89,123.1,96.3,108.8,100,105.3,123.4,99.2
平成29,2017,8,Aug.,106.5,88.5,109.2,112.6,91,121,96.1,108.5,101.2,106.3,123.9,107
平成29,2017,9,Sept.,105.1,84.7,109.2,107.9,89,122,95.5,107.2,101.4,105.9,124.8,100.3
平成29,2017,10,Oct.,105.9,88,111.2,112.4,89.1,126.3,96.2,110.3,100.4,106,123,93.7
平成29,2017,11,Nov.,106.4,92.1,108.5,108.8,93,126.7,96.5,107,101.7,105.8,123.8,100
平成29,2017,12,Dec.,105.8,92.3,108.5,109.6,93.5,122,96.9,108.7,97.4,103.8,126,100
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成25～29年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2013-2017 ),,,,,,,,,,,,,,,
(1) ウェイト………平成22年の粗付加価値額,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2010,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,
4) 事業者向け関連サービスの内訳系列である「公認会計士事務所，税理士事務所」は，「東京都の賃金、労働時間及び雇用の動き -毎月勤労統計調査地方調査結果月報-（平成29年12月分）」までを用いて作成している。,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,
"4) Certified public accountant and tax accountant offices, which are indices under business-related services, are prepared using data up to the December 2017 Monthly Report on the Results of the Monthly Labor Prefectural Survey.  ",,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（平成 22年平均＝100） ( 2010  Average=100 ),,,,,,,,,,,,,,,
