項目,Item,平成27年度 Fiscal year 2015／実数 Value,平成27年度 Fiscal year 2015／構成比 Percentage Distribution (%),平成27年度 Fiscal year 2015／対前年度増加率 Percent changes from previous fiscal year (%),平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),51136.6,48.8,1.1,52890.1,50.2,3.4
営業余剰・混合所得,Operating surplus and mixed income,29830.5,28.5,3.7,28454.3,27,-4.6
固定資本減耗,Consumption of fixed capital,18524,17.7,1.8,18632.1,17.7,0.6
生産･輸入品に課される税,Taxes on production and imports,5644,5.4,5.6,5809.1,5.5,2.9
（控除）補助金,(less) Subsidies,364.8,0.3,1,334.8,0.3,-8.2
都内総生産 (生産側),Gross prefectural domestic product (production approach),104770.3,100,2.2,105450.7,100,0.6
民間最終消費支出,Private final consumption expenditure,43773.8,41.8,2.4,44098.8,41.8,0.7
政府最終消費支出,Government final consumption expenditure,16546.3,15.8,3.5,16597,15.7,0.3
都内総固定資本形成,Gross prefectural domestic fixed capital formation,15064,14.4,1.2,15405.7,14.6,2.3
在庫変動,Changes in inventories,42.6,0,-,116.2,0.1,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,33509.2,32,-0.4,32222.1,30.6,-3.8
統計上の不突合,Statistical discrepancy,-4165.6,-4,-,-2989,-2.8,-
都内総生産 (支出側),Gross prefectural domestic product (expenditure approach),104770.3,100,2.2,105450.7,100,0.6
,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成27，28年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2015 and 2016 ),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
