"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38"
"青山ルート","赤坂見附駅","16","六本木ヒルズ","7:44","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04"
"青山ルート","赤坂見附駅","32","六本木けやき坂","7:46","8:06","8:26","8:46","9:06","9:26","9:46","10:06","10:26","10:46","11:06","11:26","11:46","12:06","12:26","12:46","13:06","13:26","13:46","14:06","14:26","14:46","15:06","15:26","15:46","16:06","16:26","16:46","17:06","17:26","17:46","18:06","18:26","18:46","19:06","19:26","19:46","20:06"
"青山ルート","赤坂見附駅","115","六本木六丁目","7:50","8:10","8:30","8:50","9:10","9:30","9:50","10:10","10:30","10:50","11:10","11:30","11:50","12:10","12:30","12:50","13:10","13:30","13:50","14:10","14:30","14:50","15:10","15:30","15:50","16:10","16:30","16:50","17:10","17:30","17:50","18:10","18:30","18:50","19:10","19:30","19:50","20:10"
"青山ルート","赤坂見附駅","116","西麻布","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11"
"青山ルート","赤坂見附駅","117","西麻布四丁目","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13"
"青山ルート","赤坂見附駅","117-2","日赤医療センター","7:56","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16"
"青山ルート","赤坂見附駅","197","青山高樹町","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19"
"青山ルート","赤坂見附駅","117-3","南青山七丁目","8:02","8:22","8:42","9:02","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:02","15:22","15:42","16:02","16:22","16:42","17:02","17:22","17:42","18:02","18:22","18:42","19:02","19:22","19:42","20:02","20:22"
"青山ルート","赤坂見附駅","118","南青山六丁目","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04","20:24"
"青山ルート","赤坂見附駅","119","青南小学校","8:06","8:26","8:46","9:06","9:26","9:46","10:06","10:26","10:46","11:06","11:26","11:46","12:06","12:26","12:46","13:06","13:26","13:46","14:06","14:26","14:46","15:06","15:26","15:46","16:06","16:26","16:46","17:06","17:26","17:46","18:06","18:26","18:46","19:06","19:26","19:46","20:06","20:26"
"青山ルート","赤坂見附駅","120","表参道駅","8:09","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:49","15:09","15:29","15:49","16:09","16:29","16:49","17:09","17:29","17:49","18:09","18:29","18:49","19:09","19:29","19:49","20:09","20:29"
"青山ルート","赤坂見附駅","121","南青山三丁目交差点","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","20:31"
"青山ルート","赤坂見附駅","122","外苑前駅","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","20:34"
"青山ルート","赤坂見附駅","123","青山二丁目交差点","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16","20:36"
"青山ルート","赤坂見附駅","124","青山一丁目駅前","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","20:39"
"青山ルート","赤坂見附駅","125","赤坂地区総合支所前","8:22","8:42","9:02","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:23","14:43","15:03","15:23","15:43","16:03","16:23","16:43","17:03","17:23","17:43","18:03","18:23","18:43","19:03","19:23","19:42","20:02","20:22","20:42"
