年次,拾得届件数（万件）,損失届件数（万件）
26年,356.5,95.6
27年,378.3,97.1
28年,383.2,100.0
29年,395.8,102.0
30年,414.0 ,104.8
1年,415.2,104.7
2年,280.6,78.5
3年,281.7,77.3
4年,343.4,91.2
5年,408.7,102.3
