区分,証明書類,有価証券類,衣類履物類,財布類,かさ類,電気製品類,かばん類,携帯電話類,貴金属類,カメラ眼鏡類
拾得届点数,812625,471223,400792,338823,294196,289897,199706,142450,112229,89506
遺失届点数,988913,168923,48354,359552,7593,57695,95996,219761,18240,15018
