順位,品目,数量（点）,拾得物全体に占める割合(%)
1,証明書類,812625,18.3
2,有価証券類,471223,10.6
3,衣類・履物類,400792,9.0
4,財布類,338823,7.6
5,かさ類,294196,6.6
