区分,証明書類（点）,証明書類／割合(%),有価証券類（点）,有価証券類／割合(%),衣類履物類（点）,衣類履物類／割合(%),かさ類（点）,かさ類／割合(%),財布類（点）,財布類／割合(%),携帯電話類（点）,携帯電話類／割合(%),かばん類（点）,かばん類／割合(%),電気製品類（点）,電気製品類／割合(%),貴金属類（点）,貴金属類／割合(%),カメラ眼鏡類（点）,カメラ眼鏡類／割合(%)
遺失者返還,598613,73.1,141820,30.5,18549,4.8,3697,1.4,230939,68.7,120222,84.9,55146,28.6,22292,8.2,1997,1.8,4421,5.3
拾得者引渡,0,0,124968,26.9,235508,61.0,160885,63.0,44746,13.3,0,0,78153,40.5,148105,54.4,44878,41.0,43461,51.7
都帰属,0,0,78285,16.9,120574,31.2,60391,23.7,60378,18.0,0,0,58969,30.6,91281,33.6,62199,57.0,36155,43.0
廃棄・任意提出,217285,26.9,119341,25.7,11752,3.0,30335,11.9,83,0,21368,15.1,677,0.4,10370,3.8,26,0,73,0.1
合計,806898,100,464414,100,386383,100,255308,100,336146,100,141590,100,192945,100,272048,100,109100,100,84110,100
