区分,件数(件),件数／割合(%),現金(円),現金／割合(%),点数(点),点数／割合(%)
遺失者返還,599175,15.1,3234631210,74.2,1342539,31.3
拾得者引渡,1701387,42.7,524183719,12.0,1439415,33.6
都帰属,1271528,31.9,596175303,13.7,942180,22.0
廃棄・任意提出,409124,10.3,5533468,0.1,561921,13.1
合計,3981214,100,4360523700,100,4286055,100
