表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,725,1.8,7.6,66.1,16.8,5.8,1.9
,,前回調査,823,0.9,11.1,58.7,19.1,6.1,4.3
業種別,,食料品卸売業,222,1.8,11.3,67.1,13.5,4.5,1.8
業種別,,生鮮食品卸売業,116,1.7,8.6,69,12.1,5.2,3.4
業種別,,加工食品等卸売業,106,1.9,14.2,65.1,15.1,3.8,0
業種別,,衣料品関連卸売業,140,0.7,5,57.9,24.3,9.3,2.9
業種別,,住関連卸売業,80,2.5,6.3,67.5,13.8,8.8,1.3
業種別,,その他卸売業,276,2.2,6.5,68.8,16.3,4.3,1.8
従業者規模別,,1～5人,376,0.5,5.6,60.4,20.7,9.8,2.9
従業者規模別,,6～9人,99,4,7.1,67.7,19.2,2,0
従業者規模別,,10～49人,204,2.5,11.3,72.5,11.3,1.5,1
従業者規模別,,50人以上,35,5.7,8.6,85.7,0,0,0
取引形態別,一次卸,小売直取引卸,212,0.9,6.1,68.9,17,5.2,1.9
取引形態別,一次卸,他部門直取引卸,47,4.3,8.5,76.6,10.6,0,0
取引形態別,一次卸,元卸,148,2,8.8,67.6,16.9,2.7,2
取引形態別,二次卸,中間卸,80,1.3,8.8,55,21.3,12.5,1.3
取引形態別,二次卸,最終卸,128,2.3,9.4,64.1,18,4.7,1.6
取引形態別,その他,製造問屋,19,5.3,5.3,57.9,10.5,21.1,0
取引形態別,その他,その他卸,71,1.4,5.6,62,16.9,9.9,4.2
売上高増減別(前年同期比),,増加,54,11.1,9.3,74.1,5.6,0,0
売上高増減別(前年同期比),,横ばい,102,2,4.9,86.3,6.9,0,0
売上高増減別(前年同期比),,減少,558,0.9,8.1,61.6,19.9,7.5,2
売上高増減別(３年前),,増加,136,6.6,14,74.3,5.1,0,0
売上高増減別(３年前),,横ばい,130,0.8,6.2,85.4,6.2,0.8,0.8
売上高増減別(３年前),,減少,443,0.5,6.1,57.6,23.7,9.3,2.9
