区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,5720,42.2,10.8,399530,11749,28047,6090812,4475,43.5,11.6,422793,11864,28625,6428046,1216,37.4,7.6,314697,11329,26156,4681125
建設業,336,43.5,12.7,421830,11952,48119,7537625,265,44.9,14,438527,12530,45518,7590496,47,38.3,8.8,350151,8876,76512,7522254
製造業,1453,43.1,12.5,412965,12762,21932,6113673,1244,44.2,13.2,429129,12555,21624,6338573,209,36.4,8.6,316525,13996,23767,4649894
情報通信業,277,41.5,10.7,424330,10261,38502,6556246,191,42.6,12.1,450942,10404,35746,6893416,86,39,7.6,365225,9941,44624,5827115
運輸業，郵便業,225,52.1,8.2,332754,4217,65696,4442251,214,52.8,8.4,334126,3994,67674,4445551,11,39.6,4.5,308695,8551,27206,4346000
卸売業，小売業,1369,42.8,11.5,354697,12126,23381,5393613,1031,43.1,12.3,381700,12252,25407,5875244,338,41.9,9.2,272323,11740,16941,3725571
金融業，保険業,589,44,10.1,563081,11996,28765,9126187,503,44.7,10.6,582380,12226,27503,9312163,86,39.8,7.1,447522,10652,35874,7776356
不動産業，物品賃貸業,443,34.5,6,354743,10416,29336,5402143,309,36.1,6.8,375653,11573,29021,5709235,134,30.7,4,306524,7751,30064,4473640
学術研究，専門・技術サービス業,453,37.9,8.7,401606,12529,20803,5826718,317,40.6,10.1,434573,13040,20144,6226322,134,31.4,5.5,323719,11199,22522,4771745
宿泊業，飲食サービス業,140,39.4,9.2,301045,12107,20757,3431381,84,43.3,11,314952,11905,27467,3628386,53,33.4,6.4,282053,12840,12921,3098997
生活関連サービス業，娯楽業,231,41.8,10.1,342269,11377,24233,4736674,155,43.2,10.9,364214,11661,28093,5189537,76,39.1,8.6,296915,10797,15631,3733408
教育，学習支援業（学校教育を除く）,54,45.4,10.7,300696,10370,39920,4585349,35,46.7,12.5,311293,11052,43509,4624931,19,42.9,7.5,281175,9114,33310,4487915
医療，福祉,53,37.2,6.3,353342,13342,20882,5277554,47,38.2,6.6,357305,13475,20722,5502345,6,29.3,4,322299,12299,22348,3778950
サービス業（他に分類されないもの）,97,44.8,14.7,379304,13473,30065,6419160,80,46.6,16,390443,12421,33626,6596495,17,36.7,8.7,326884,18425,13307,5355154
