表側１,表側２,表側３,回答企業数(件),1940年以前(％),1941～1950年(％),1951～1960年(％),1961～1970年(％),1971～1980年(％),1981～1990年(％),1991～2000年(％),2001～2010年(％),2011年以降(％),その他(％),無回答(％)
,,今回調査（全体）,760,8.8,5,10.3,11.3,14.7,13.2,13.4,13,6.8,0,3.4
,,前回調査,823,6.8,5.2,10.1,11.7,15.8,13.9,15.1,12.4,4.5,0,0.1
業種別,,食料品卸売業,237,10.1,7.2,11,12.2,15.2,11,11.8,9.3,7.2,0,5.1
業種別,,生鮮食品卸売業,126,10.3,8.7,7.9,11.9,16.7,11.1,12.7,7.9,5.6,0,7.1
業種別,,加工食品等卸売業,111,9.9,5.4,14.4,12.6,13.5,10.8,10.8,10.8,9,0,2.7
業種別,,衣料品関連卸売業,145,7.6,2.1,7.6,9.7,13.1,13.8,17.2,20.7,6.2,0,2.1
業種別,,住関連卸売業,83,9.6,4.8,14.5,15.7,8.4,7.2,13.3,16.9,6,0,3.6
業種別,,その他卸売業,288,8,4.9,9.7,10.1,16.7,16.3,13.2,11.5,6.9,0,2.8
従業者規模別,,1～5人,399,5.3,3.8,8.3,10,14.5,13.5,15,15.8,10.3,0,3.5
従業者規模別,,6～9人,101,6.9,2,9.9,10.9,12.9,10.9,19.8,20.8,4,0,2
従業者規模別,,10～49人,208,15.4,8.7,13.5,12,16.3,13.9,9.6,5.8,2.9,0,1.9
従業者規模別,,50人以上,36,19.4,8.3,11.1,19.4,16.7,13.9,2.8,2.8,2.8,0,2.8
取引形態別,一次卸,小売直取引卸,219,9.1,3.2,12.3,10,13.7,13.2,11.9,16.4,7.3,0,2.7
取引形態別,一次卸,他部門直取引卸,50,4,10,12,6,16,6,14,22,8,0,2
取引形態別,一次卸,元卸,154,7.8,2.6,5.8,9.1,13.6,12.3,20.8,16.2,9.1,0,2.6
取引形態別,二次卸,中間卸,85,2.4,4.7,8.2,11.8,17.6,16.5,15.3,11.8,8.2,0,3.5
取引形態別,二次卸,最終卸,135,14.1,6.7,13.3,14.8,15.6,8.9,12.6,4.4,5.2,0,4.4
取引形態別,その他,製造問屋,19,15.8,5.3,5.3,5.3,10.5,36.8,5.3,10.5,5.3,0,0
取引形態別,その他,その他卸,77,7.8,6.5,11.7,16.9,15.6,14.3,6.5,10.4,3.9,0,6.5
