表側１,表側２,表側３,回答企業数(件),１～４(%),５～９(%),10～19(%),20～49(%),50以上(%),無回答(%)
,,今回調査（全体）,2141,45.3,29.1,14.2,5.3,3.2,2.9
,,前回調査,2003,43.1,29.5,14.6,6.1,3.2,3.5
業種別,,総合商品小売業,189,39.7,6.3,13.2,15.9,15.3,9.5
業種別,,生鮮食品小売業,134,41.8,33.6,16.4,2.2,2.2,3.7
業種別,,食料品関連小売業,535,48.6,31.6,13.3,4.1,1.3,1.1
業種別,,衣料品関連小売業,298,46.3,28.2,15.4,5.4,2.7,2.0
業種別,,住関連小売業,167,46.1,37.1,10.2,3.6,1.2,1.8
業種別,,その他小売業,773,44.4,30.7,14.9,4.8,2.5,2.8
従業者規模別,,１～２人,1066,58.1,29.1,8.6,1.8,0.1,2.3
従業者規模別,,３～５人,486,31.3,37.0,22.0,5.3,1.4,2.9
従業者規模別,,６～19人,336,30.7,28.0,21.4,10.7,5.1,4.2
従業者規模別,,20人以上,170,30.6,11.2,14.7,16.5,24.1,2.9
売上高規模別,,１千万円未満,878,65.5,24.8,7.1,0.7,0.0,1.9
売上高規模別,,１～３千万円未満,456,36.0,42.1,17.1,3.7,0.4,0.7
売上高規模別,,３～５千万円未満,175,29.7,36.0,24.0,8.0,1.1,1.1
売上高規模別,,５千万～１億円未満,172,21.5,35.5,29.1,11.0,1.7,1.2
売上高規模別,,１～３億円未満,242,32.2,22.7,17.4,15.7,8.3,3.7
売上高規模別,,３～５億円未満,72,30.6,15.3,19.4,11.1,16.7,6.9
売上高規模別,,５億円以上,80,25.0,15.0,15.0,8.8,36.3,0.0
