表側,事業所数／2012年(所),事業所数／2014年(所),事業所数／2016年(所),年間商品販売額／2012年(百万円),年間商品販売額／2014年(百万円),年間商品販売額／2016年(百万円)
小売業
（全体）,67317,69956,72256,14443552,15855062,19086829
各種商品
小売業,187,319,227,1829585,2003145,2358307
織物・衣服・
身の回り品
小売業,11209,12143,12864,1177084,1522959,1830581
飲食料品
小売業,22303,22323,23265,3651612,3697156,4710235
機械器具
小売業,6288,6379,6661,3121234,2774527,3243742
その他の
小売業,24987,25887,26294,3282973,4171035,4220509
無店舗
小売業,2343,2905,2945,1381064,1686240,2723456
