表側１,表側２,表側３,回答企業数(件),自企業（法人）所有(%),経営者（個人）所有(%),賃借（第三者所有）(%),その他(%),無回答(%)
,,今回調査（全体）,2141,6.7,46.1,42.3,2.5,2.4
,,前回調査,2003,6.1,50.2,38.8,2.7,2.1
業種別,,総合商品小売業,189,5.8,13.2,74.6,5.3,1.1
業種別,,生鮮食品小売業,134,6.7,55.2,35.8,1.5,0.7
業種別,,食料品関連小売業,535,7.7,61.5,28.0,2.6,0.2
業種別,,衣料品関連小売業,298,7.0,42.6,49.0,1.3,0.0
業種別,,住関連小売業,167,6.0,52.7,35.3,4.8,1.2
業種別,,その他小売業,773,6.7,44.2,46.6,2.1,0.4
従業者規模別,,１～２人,1066,3.2,59.8,31.6,2.9,2.4
従業者規模別,,３～５人,486,8.8,48.4,38.5,1.9,2.5
従業者規模別,,６～19人,336,10.7,19.9,65.2,1.8,2.4
従業者規模別,,20人以上,170,11.8,10.6,71.2,4.1,2.4
創業時期別,,1940年以前,186,14.0,70.4,11.3,3.8,0.5
創業時期別,,1941～1950年,166,9.6,70.5,11.4,3.0,5.4
創業時期別,,1951～1960年,297,7.4,68.4,19.9,2.4,2.0
創業時期別,,1961～1970年,211,7.6,63.5,25.1,0.0,3.8
創業時期別,,1971～1980年,242,5.8,48.8,41.7,1.7,2.1
創業時期別,,1981～1990年,201,2.0,37.3,56.7,2.0,2.0
創業時期別,,1991～2000年,250,8.0,21.6,66.0,2.8,1.6
創業時期別,,2001～2010年,270,2.2,20.4,71.5,2.6,3.3
創業時期別,,2011年以降,205,5.4,16.6,75.1,2.0,1.0
