表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩･島しょ(％),関東(都内を除く)(％),関東以外の道府県(％),海外(％),無回答(％)
,,今回調査（全体）,760,11.7,3.7,16.8,5.5,1.6,1.1,2.8,11.1,22,18.7,5.1
,,前回調査,823,16.3,2.3,15.1,5.2,1.2,0.6,2.3,17.7,19.2,16.5,3.5
業種別,,食料品卸売業,237,16.5,3,18.1,8.9,1.7,0.8,2.5,12.2,19.4,11.8,5.1
業種別,,生鮮食品卸売業,126,16.7,4,27.8,13.5,2.4,0.8,3.2,10.3,11.9,4,5.6
業種別,,加工食品等卸売業,111,16.2,1.8,7.2,3.6,0.9,0.9,1.8,14.4,27.9,20.7,4.5
業種別,,衣料品関連卸売業,145,3.4,3.4,13.8,0,0,0,0.7,6.2,33.8,33.8,4.8
業種別,,住関連卸売業,83,13.3,4.8,12,6,1.2,1.2,7.2,12,15.7,16.9,9.6
業種別,,その他卸売業,288,11.8,3.8,18.4,5.6,2.4,1.7,2.8,12.5,19.8,17,4.2
従業者規模別,,1～5人,399,10,3.5,19,5,2.3,1.3,3.3,12.3,20.3,16.5,6.5
従業者規模別,,6～9人,101,11.9,1,13.9,4,1,0,1,6.9,28.7,29.7,2
従業者規模別,,10～49人,208,13.9,4.8,13.9,7.2,1,1,3.4,9.6,21.2,20.2,3.8
従業者規模別,,50人以上,36,16.7,5.6,19.4,8.3,0,2.8,0,16.7,22.2,8.3,0
取引形態別,一次卸,小売直取引卸,219,6.8,4.1,13.7,3.7,1.4,1.4,1.4,9.6,29.7,23.3,5
取引形態別,一次卸,他部門直取引卸,50,22,2,10,2,0,2,0,8,30,22,2
取引形態別,一次卸,元卸,154,5.8,3.9,8.4,1.3,1.3,0.6,0.6,9.7,17.5,44.2,6.5
取引形態別,二次卸,中間卸,85,16.5,3.5,21.2,7.1,2.4,2.4,5.9,15.3,16.5,1.2,8.2
取引形態別,二次卸,最終卸,135,14.8,4.4,25.2,16.3,2.2,0,4.4,11.9,16.3,2.2,2.2
取引形態別,その他,製造問屋,19,5.3,0,21.1,0,0,0,0,26.3,36.8,0,10.5
取引形態別,その他,その他卸,77,20.8,2.6,24.7,2.6,2.6,1.3,7.8,11.7,14.3,7.8,3.9
所在地別,,都心,152,15.8,2,9.9,2.6,0,0,0,9.2,26.3,30.9,3.3
所在地別,,副都心,85,14.1,14.1,8.2,5.9,1.2,1.2,1.2,9.4,16.5,24.7,3.5
所在地別,,城東,247,8.9,0.8,32.4,3.2,0.4,0.8,0.4,11.3,19.8,14.6,7.3
所在地別,,城南,71,12.7,0,11.3,26.8,0,1.4,0,11.3,18.3,15.5,2.8
所在地別,,城西,75,12,8,8,2.7,13.3,0,0,14.7,22.7,14.7,4
所在地別,,城北,40,10,5,10,0,0,7.5,2.5,15,27.5,15,7.5
所在地別,,多摩,81,9.9,3.7,7.4,4.9,0,1.2,21,11.1,25.9,9.9,4.9
