,,都心,副都心,城東,城南,城北,城西,多摩,無回答            ,n
,今回調査（全体）,25.1,21,15.5,8.5,3.1,11.1,15.3,0.4,2348
,前回調査,27.5,20.7,12.8,7.5,3.2,11,17.3,0,2263
業種別,情報・コンテンツ業,29.2,25.6,12,7.3,2.7,11.7,11.1,0.3,640
業種別,専門サービス業,31,21.3,12.7,7.6,2.1,11,13.5,0.9,820
業種別,技術サービス業,16.2,21.2,16.8,9.1,5,9.1,22.6,0,340
業種別,事業サービス業,17.6,13.8,23.3,10.5,3.9,11.2,19.5,0.2,507
特定10業種別,ソフトウェア業,28.3,22,15.7,9.4,2.4,9.8,11.9,0.3,286
特定10業種別,インターネット附随サービス業,16.1,37.1,12.9,3.2,3.2,19.4,8.1,0,62
特定10業種別,映像情報制作・配給業,36.8,27.9,8.8,4.4,1.5,13.2,7.4,0,68
特定10業種別,出版業,36.4,27.3,3.6,1.8,7.3,9.1,14.5,0,55
特定10業種別,税理士事務所,23.9,18.3,18.3,10.1,3.7,10.6,13.8,1.4,218
特定10業種別,デザイン業,29.8,29.8,8.7,5.8,1.9,14.4,9.6,0,104
特定10業種別,経営コンサルタント業,33.5,21.8,8.4,8.9,0.6,12.8,12.3,1.7,179
特定10業種別,建築設計業,18.9,24.4,15,9.4,5.6,11.1,15.6,0,180
特定10業種別,自動車整備業,1.9,0,33.3,13,5.6,7.4,38.9,0,54
特定10業種別,建物サービス業,14.4,15.3,18,8.1,7.2,16.2,19.8,0.9,111
従業者規模別,1～2人,20.4,18,15.4,9.6,3.9,13.3,19.2,0.2,971
従業者規模別,3～5人,25.1,20.6,16.4,8.2,1.7,11.5,16.2,0.2,573
従業者規模別,6～9人,24.4,26.8,14.8,8,3.6,11.6,10.8,0,250
従業者規模別,10～29人,32.9,25.6,15.2,8.5,2.8,6,8.9,0,316
従業者規模別,30人以上,35.7,23.8,14.3,4.3,2.9,6.7,12.4,0,210
