表側１,人口（千人）,人口／割合（％）,人口密度（1?当たり人数）,人口密度／倍率（倍）
東京都,13921,11,6345,19
神奈川県,9198,7.3,3807,11.4
大阪府,8809,7,4623,13.9
愛知県,7552,6,1460,4.4
埼玉県,7350,5.8,1935,5.8
全国,126167,100,334,1
