表側１,表側２,表側３,回答企業数(件),男性の19歳以下(％),男性の20歳代(％),男性の30歳代(％),男性の40歳代(％),男性の50歳代(％),男性の60歳以上(％),女性の19歳以下(％),女性の20歳代(％),女性の30歳代(％),女性の40歳代(％),女性の50歳代(％),女性の60歳以上(％),無回答(％)
,,今回調査（全体）,2003,19.5,30.9,43.6,52.1,60.2,69.6,19.9,34,47.7,55.6,61.8,74.5,2.5
,,前回調査,2189,9.8,14.5,24.7,32.3,41,48.8,10.3,17.8,30.3,38.9,50.6,63.8,4
業種別,,総合商品小売業,164,62.8,73.8,85.4,89.6,81.7,76.2,62.8,78.7,84.8,87.8,79.9,75,1.2
業種別,,生鮮食品小売業,113,5.3,18.6,36.3,45.1,51.3,67.3,6.2,24.8,50.4,53.1,59.3,76.1,4.4
業種別,,食料品関連小売業,511,13.9,28.6,44.2,55,62,72.6,15.3,32.1,49.7,56.6,60.9,75.7,2.2
業種別,,衣料品関連小売業,314,6.4,13.1,22,26.4,33.1,42,8.6,17.2,30.3,42.7,56.4,75.5,1.6
業種別,,住関連小売業,162,5.6,9.3,22.2,34.6,58.6,82.7,4.9,8.6,21.6,34,54.3,80.9,3.7
業種別,,その他小売業,737,24.6,37,48.8,57.7,67.3,75.3,23.7,39.5,50.7,58.3,62.6,71.4,3
従業者規模別,,1～2人,1059,12.4,21,33.4,43.5,52.8,66.9,12.6,23.5,38,47.3,56.3,74.6,2.9
従業者規模別,,3～5人,488,16.8,31.1,46.7,52.7,66,72.7,17.6,35.7,50.2,59.4,65.8,74.8,1.8
従業者規模別,,6～19人,272,37.1,54.4,65.8,73.9,72.4,75.4,38.2,57,69.9,73.9,70.6,77.6,1.5
従業者規模別,,20人以上,134,52.2,64.2,72.4,79.9,79.1,72.4,52.2,69.4,76.9,79.1,76.1,73.1,1.5
