表側１,表側２,表側３,回答企業数(件),増加(％),変わらない(％),減少(％),無回答(％)
,,今回調査（全体）,1875,13,50.2,31.8,5
業種別,,総合商品小売業,148,25,66.2,8.1,0.7
業種別,,生鮮食品小売業,105,6.7,55.2,25.7,12.4
業種別,,食料品関連小売業,483,9.5,51.8,31.3,7.5
業種別,,衣料品関連小売業,290,9.3,40,45.9,4.8
業種別,,住関連小売業,155,6.5,49.7,36.8,7.1
業種別,,その他小売業,692,16.9,49.6,30.9,2.6
従業者規模別,,1～2人,1000,6.2,46.7,41.6,5.5
従業者規模別,,3～5人,460,15.2,52.2,27.2,5.4
従業者規模別,,6～19人,254,29.9,56.3,12.6,1.2
従業者規模別,,20人以上,127,27.6,63,7.9,1.6
売上高増減別(前年同期比),,増加,134,32.1,55.2,12.7,0
売上高増減別(前年同期比),,横ばい,241,17.4,59.8,19.9,2.9
売上高増減別(前年同期比),,減少,1434,10.7,47.7,36,5.6
売上高増減別(3年前),,増加,130,38.5,54.6,6.2,0.8
売上高増減別(3年前),,横ばい,338,18,65.7,12.4,3.8
売上高増減別(3年前),,減少,1346,9.5,45.8,39.4,5.3
