表側１,表側２,表側３,回答企業数(件),当該商品の直近の販売価格(％),貴社の他商品とのバランス(％),競合店の価格(％),マーケット(市場価格)動向(％),経験や勘(％),仕入先の意向(％),商品の品質・希少性(％),当該商品の賞味・消費期間(％),シーズンのイン・アウトの時期(％),販売数量と価格のバランス(％),陳列場所・陳列方法(％),在庫状況(％),販売計画(目標売上・利幅等)(％),すでに価格が決定されており決定権がない(％),その他(％),無回答(％)
,,今回調査（全体）,2003,27.1,13.7,22.1,24.3,21.4,21.5,25,6.4,6.7,12.2,5.9,12.9,5.7,21.8,4.8,5.2
業種別,,総合商品小売業,164,12.8,11.6,11,18.3,6.1,12.8,9.8,6.7,7.3,8.5,14,9.1,8.5,65.2,5.5,3.7
業種別,,生鮮食品小売業,113,34.5,8.8,15,37.2,29.2,17.7,27.4,14.2,2.7,10.6,13.3,15,1.8,3.5,0,10.6
業種別,,食料品関連小売業,511,32.3,17.8,22.7,24.7,21.9,20,24.3,11.7,2.7,13.5,4.5,5.5,4.9,9,4.9,6.1
業種別,,衣料品関連小売業,314,28.3,14,24.2,19.1,32.2,29.9,37.3,2.9,16.2,14.6,4.5,24.8,7.6,15.3,3.5,4.5
業種別,,住関連小売業,162,43.2,19.1,38.3,26.5,22.2,22.2,16,1.9,7.4,13,4.9,14.8,6.8,9.3,3.7,3.1
業種別,,その他小売業,737,21.4,10.6,20.9,25.1,18.5,21.2,25.4,4.1,5.8,11.3,4.9,12.9,5,29.4,6.1,5
従業者規模別,,1～2人,1059,29.5,11.6,20.8,20.2,21.9,22.8,25.6,6.1,6.4,10.4,5.2,13.2,4.2,17.4,3.8,5.8
従業者規模別,,3～5人,488,29.5,17.6,26.8,28.7,26.6,22.1,30.5,8.6,8.2,15.4,4.9,15.2,6.8,14.5,6.1,5.1
従業者規模別,,6～19人,272,21.3,16.2,22.8,31.3,17.6,20.2,21,6.3,5.9,16.2,9.6,11,8.8,35.7,6.3,2.9
従業者規模別,,20人以上,134,13.4,14.2,16.4,25.4,6.7,14.2,12.7,3,5.2,10.4,8.2,8.2,9.7,55.2,6,3.7
売上高増減別(前年同期比),,増加,138,29,25.4,22.5,35.5,27.5,23.9,39.1,8.7,9.4,17.4,9.4,10.9,8,30.4,3.6,1.4
売上高増減別(前年同期比),,横ばい,251,30.3,14.7,18.7,24.3,22.7,20.7,23.5,6.4,5.2,10,6.4,11.6,4,23.1,2,3.2
売上高増減別(前年同期比),,減少,1536,26.9,12.7,22.9,23.1,20.7,21.9,24.3,6.3,6.8,12.2,5.5,13.4,5.8,21.2,5.3,5.1
売上高増減別(3年前),,増加,130,25.4,23.8,27.7,33.8,27.7,21.5,36.2,6.9,7.7,16.9,3.1,13.1,10.8,29.2,3.1,0.8
売上高増減別(3年前),,横ばい,338,26.3,15.7,18.6,27.2,21.3,22.2,28.4,7.1,6.5,12.4,8.3,12.1,6.5,21.9,4.4,4.7
売上高増減別(3年前),,減少,1346,28.3,12.3,23.6,23.6,21.5,21.8,23.8,6.6,6.8,12.3,5.7,13.3,4.8,20.7,4.9,5.1
