表側１,表側２,表側３,回答企業数(件),ボランタリーチェーンに加盟(％),フランチャイズチェーンに加盟(％),共同仕入に参加(％),メーカー等の系列店(％),加盟していない(％),無回答(％)
,,今回調査（全体）,2003,1.9,9,1.1,4.4,77.3,6.3
,,前回調査,2189,2.1,7.2,1.3,4.1,78.8,6.4
業種別,,総合商品小売業,164,2.4,91.5,0,0,5.5,0.6
業種別,,生鮮食品小売業,113,0,0,0.9,0,86.7,12.4
業種別,,食料品関連小売業,511,0.6,1.6,1,2,87.9,7
業種別,,衣料品関連小売業,314,1,0.6,0.6,1,87.6,9.2
業種別,,住関連小売業,162,1.9,0.6,0,21.6,68.5,7.4
業種別,,その他小売業,737,3.4,2.6,1.9,5.3,82.1,4.7
従業者規模別,,1～2人,1059,1.5,2,0.8,2.8,85.3,7.6
従業者規模別,,3～5人,488,1.8,1.4,0.6,8.2,81.4,6.6
従業者規模別,,6～19人,272,3.3,26.1,2.9,4.4,61,2.2
従業者規模別,,20人以上,134,3,58.2,0.7,3.7,33.6,0.7
