表側１,表側２,表側３,回答企業数(件),非常に負担感がある(％),少し負担感がある(％),あまり負担感がない(％),まったく負担感がない(％),借入はない(％),無回答(％)
,,今回調査（全体）,2003,12.6,18.2,15.2,1.4,45.6,7
業種別,,総合商品小売業,164,17.1,18.3,23.8,2.4,32.9,5.5
業種別,,生鮮食品小売業,113,8,24.8,12.4,1.8,40.7,12.4
業種別,,食料品関連小売業,511,12.1,18.6,14.7,1.4,47,6.3
業種別,,衣料品関連小売業,314,14.6,14.3,12.7,1.6,49.4,7.3
業種別,,住関連小売業,162,13.6,24.7,14.2,1.2,37,9.3
業種別,,その他小売業,737,11.7,17,15.3,1.1,48.4,6.5
従業者規模別,,1～2人,1059,10.8,16.1,11.5,0.8,53.4,7.4
従業者規模別,,3～5人,488,12.1,20.1,18.4,2.9,39.1,7.4
従業者規模別,,6～19人,272,18,21.7,18.4,0.7,36,5.1
従業者規模別,,20人以上,134,19.4,20.1,26.1,2.2,27.6,4.5
売上高規模別,,1千万円未満,884,11.2,14.1,9.8,1.1,56.4,7.2
売上高規模別,,1～3千万円未満,427,12.6,17.8,18,1.6,44.5,5.4
売上高規模別,,3～5千万円未満,186,13.4,29.6,14.5,1.6,37.1,3.8
売上高規模別,,5千万～1億円未満,142,16.2,22.5,23.9,1.4,31.7,4.2
売上高規模別,,1～3億円未満,202,17.3,22.3,19.8,2,34.2,4.5
売上高規模別,,3～5億円未満,49,16.3,20.4,26.5,4.1,30.6,2
売上高規模別,,5億円以上,48,12.5,25,35.4,0,25,2.1
経常損益の変化別(前年同期比),,増益,109,11.9,18.3,17.4,2.8,48.6,0.9
経常損益の変化別(前年同期比),,横ばい,337,4.5,17.2,22.6,1.8,50.1,3.9
経常損益の変化別(前年同期比),,減益,1406,15.4,19.1,14.4,1,45,5.2
経常損益の変化別(3年前),,増益,208,9.1,25.5,21.6,3.4,38.9,1.4
経常損益の変化別(3年前),,横ばい,615,11.5,16.6,17.9,1.8,47.6,4.6
経常損益の変化別(3年前),,減益,937,15.3,18.2,13.9,1.1,45.7,5.9
