表側１,表側２,表側３,回答企業数(件),1940年以前(％),1941～1950年(％),1951～1960年(％),1961～1970年(％),1971～1980年(％),1981～1990年(％)
,,今回調査（全体）,2003,13.3,8.7,13.3,11.4,10.9,9.7
,,前回調査,2189,13.4,8.4,14,12.2,11.4,8
業種別,,総合商品小売業,164,1.8,0,5.5,3,6.7,9.8
業種別,,生鮮食品小売業,113,11.5,13.3,14.2,17.7,16.8,8
業種別,,食料品関連小売業,511,20.5,10.4,15.7,14.5,7.8,8.4
業種別,,衣料品関連小売業,314,11.1,8.9,13.1,11.1,12.7,9.2
業種別,,住関連小売業,162,16.7,5.6,19.8,14.2,16,10.5
業種別,,その他小売業,737,11.3,9.4,11.9,9.8,11.1,11
従業者規模別,,1～2人,1059,14.9,9.3,14.8,13.4,11.2,10.6
従業者規模別,,3～5人,488,15,10.2,14.5,11.9,13.1,8.8
従業者規模別,,6～19人,272,8.8,5.9,8.5,6.3,6.3,9.9
従業者規模別,,20人以上,134,6.7,3.7,7.5,3.7,9,8.2
