表側１,表側２,表側３,回答企業数(件),ボランタリーチェーンに加盟(%),フランチャイズチェーンに加盟(%),メーカー等の系列店(%),加盟していない(%),無回答(%)
,,今回調査（全体）,2141,2.0,9.9,3.5,79.7,5.0
業種別,,総合商品小売業,189,1.1,91.5,0.0,6.9,0.5
業種別,,生鮮食品小売業,134,0.0,0.0,0.0,91.8,8.2
業種別,,食料品関連小売業,535,1.3,1.9,0.9,91.8,4.1
業種別,,衣料品関連小売業,298,0.3,0.3,1.7,91.3,6.4
業種別,,住関連小売業,167,0.6,1.8,21.6,71.3,4.8
業種別,,その他小売業,773,3.9,2.6,3.6,84.9,5.0
従業者規模別,,１～２人,1066,1.4,1.2,4.5,86.2,6.7
従業者規模別,,３～５人,486,2.5,4.1,2.7,86.2,4.5
従業者規模別,,６～19人,336,2.7,24.4,2.7,69.0,1.2
従業者規模別,,20人以上,170,2.4,54.1,2.4,40.0,1.2
