表側１,表側２,表側３,回答企業数(件),電話(%),ＦＡＸ(%),ＥＯＳ(%),電子メール(%),インターネット(%),展示会(%),ＶＭＩ(%),対面(%),その他(%),無回答(%)
,,今回調査（全体）,2141,46.0,38.1,5.7,11.0,32.9,5.6,0.4,20.4,4.7,2.4
業種別,,総合商品小売業,189,4.2,8.5,32.8,2.1,42.3,0.0,2.6,1.1,19.6,5.8
業種別,,生鮮食品小売業,134,46.3,39.6,0.0,9.7,12.7,0.0,0.0,40.3,3.0,4.5
業種別,,食料品関連小売業,535,67.5,45.4,5.0,10.7,23.7,0.6,0.0,12.9,1.3,1.3
業種別,,衣料品関連小売業,298,41.6,26.8,0.0,11.7,22.5,21.5,0.0,40.6,4.4,2.3
業種別,,住関連小売業,167,57.5,51.5,1.8,16.2,34.7,6.0,1.8,10.8,2.4,1.2
業種別,,その他小売業,773,40.5,41.7,3.6,12.5,44.1,5.2,0.1,21.2,3.9,2.3
従業者規模別,,１～２人,1066,49.2,37.6,2.3,9.7,26.2,6.1,0.1,25.0,3.2,2.3
従業者規模別,,３～５人,486,53.5,45.9,4.5,13.2,36.4,6.8,0.2,18.5,2.9,2.1
従業者規模別,,６～19人,336,37.8,35.4,11.6,12.5,44.6,3.3,0.3,15.5,7.4,2.7
従業者規模別,,20人以上,170,21.2,27.6,20.0,11.2,45.9,1.8,3.5,5.9,13.5,1.8
年間売上高増減別（3年前）,,増加（５％以上）,227,40.5,33.0,8.8,20.3,44.5,7.5,1.8,18.5,4.4,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,42.0,36.7,6.9,12.4,35.4,2.6,0.4,17.3,6.5,1.6
年間売上高増減別（3年前）,,やや減少（10％未満）,450,43.3,40.2,4.9,12.0,34.2,4.0,0.4,19.8,6.0,1.3
年間売上高増減別（3年前）,,減少（20％未満）,434,55.3,44.9,6.0,8.8,31.3,6.5,0.2,20.0,2.3,1.2
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,49.2,36.0,3.1,6.5,26.1,8.8,0.0,26.5,4.0,1.6
売上高経常利益率別,,黒字（プラス）,1093,44.6,37.9,7.3,12.1,37.6,4.9,0.7,17.8,5.4,1.2
売上高経常利益率別,,赤字（マイナス）,838,49.3,40.5,4.3,10.7,28.4,6.6,0.1,24.1,3.6,0.8
経常損益の変化別（3年前）,,増益,316,41.8,34.5,7.6,17.4,36.7,6.6,0.6,19.6,4.4,2.5
経常損益の変化別（3年前）,,横ばい,702,47.9,37.7,6.0,10.0,34.2,5.3,0.6,19.1,4.7,1.4
経常損益の変化別（3年前）,,減益,999,46.8,41.0,5.1,9.7,31.6,5.5,0.3,21.8,4.8,0.7
,,,,,,,,,,,,,
