表側１,表側２,表側３,回答企業数(件),加盟している(％),加盟していない(％),無回答(％)
,,今回調査（全体）,1086,83.3,16.1,0.6
,,前回調査,1133,84.6,13.3,2
業種別,,総合商品小売業,60,78.3,21.7,0
業種別,,生鮮食品小売業,68,86.8,11.8,1.5
業種別,,食料品関連小売業,273,85,14.3,0.7
業種別,,衣料品関連小売業,197,82.2,17.3,0.5
業種別,,住関連小売業,86,81.4,18.6,0
業種別,,その他小売業,400,83.3,16.3,0.5
従業者規模別,,1～2人,573,81,18.7,0.3
従業者規模別,,3～5人,295,86.4,12.9,0.7
従業者規模別,,6～19人,149,88.6,10.1,1.3
従業者規模別,,20人以上,52,80.8,19.2,0
売上高規模別,,1千万円未満,451,80.7,18.6,0.7
売上高規模別,,1～3千万円未満,266,83.5,16.5,0
売上高規模別,,3～5千万円未満,111,87.4,11.7,0.9
売上高規模別,,5千万～1億円未満,73,84.9,13.7,1.4
売上高規模別,,1～3億円未満,106,85.8,13.2,0.9
売上高規模別,,3～5億円未満,20,85,15,0
売上高規模別,,5億円以上,18,94.4,5.6,0
