表側１,表側２,表側３,回答企業数(件),近隣住民(%),周辺施設利用者(%),通勤者(%),インターネット販売利用者(%),その他(%),わからない(%),無回答(%)
,,今回調査（全体）,2141,64.3,7.1,3.5,2.1,8.6,9.3,5.0
業種別,,総合商品小売業,189,63.5,10.6,17.5,0.0,1.1,0.5,6.9
業種別,,生鮮食品小売業,134,78.4,4.5,2.2,0.0,3.0,4.5,7.5
業種別,,食料品関連小売業,535,77.8,4.5,2.2,1.5,3.6,6.7,3.7
業種別,,衣料品関連小売業,298,55.7,9.7,1.0,3.4,12.1,13.4,4.7
業種別,,住関連小売業,167,65.9,1.8,0.6,3.6,8.4,15.6,4.2
業種別,,その他小売業,773,55.8,8.7,2.7,2.8,13.7,11.3,5.0
従業者規模別,,１～２人,1066,67.8,4.7,1.9,1.6,8.4,11.7,3.8
従業者規模別,,３～５人,486,65.0,5.8,3.1,2.7,8.8,7.6,7.0
従業者規模別,,６～19人,336,55.4,14.0,5.4,3.9,10.7,5.4,5.4
従業者規模別,,20人以上,170,57.1,12.9,11.8,0.6,6.5,7.1,4.1
