表側,2016年
各種商品小売業(％),0.3
織物・衣服・身の回り品小売業(％),17.8
飲食料品小売業(％),32.2
機械器具小売業(％),9.2
その他の小売業(％),36.4
無店舗小売業(％),4.1
事業所数(所),72256
