表側１,表側２,表側３,回答企業数(件),増加(5 ポイント以上)(％),ほぼ横ばい(±5ポイント未満)(％),やや減少(10ポイント未満)(％),減少(20ポイント未満)(％),大幅減少(20ポイント以上)(％),無回答(％)
,,今回調査（全体）,725,6.3,45.7,17.9,13.7,14.6,1.8
業種別,,食料品卸売業,222,4.5,43.2,21.2,14,15.3,1.8
業種別,,生鮮食品卸売業,116,3.4,44.8,19,12.1,18.1,2.6
業種別,,加工食品等卸売業,106,5.7,41.5,23.6,16,12.3,0.9
業種別,,衣料品関連卸売業,140,6.4,43.6,17.1,15,16.4,1.4
業種別,,住関連卸売業,80,3.8,46.3,22.5,7.5,17.5,2.5
業種別,,その他卸売業,276,8.3,47.8,14.9,14.5,12.7,1.8
従業者規模別,,1～5人,376,5.9,36.2,18.6,17.8,20.2,1.3
従業者規模別,,6～9人,99,10.1,47.5,14.1,10.1,16.2,2
従業者規模別,,10～49人,204,5.9,55.9,21.1,8.8,5.4,2.9
従業者規模別,,50人以上,35,5.7,80,8.6,0,5.7,0
取引形態別,一次卸,小売直取引卸,212,6.1,49.5,16.5,13.7,11.8,2.4
取引形態別,一次卸,他部門直取引卸,47,6.4,57.4,19.1,10.6,4.3,2.1
取引形態別,一次卸,元卸,148,10.8,51.4,18.9,8.8,10.1,0
取引形態別,二次卸,中間卸,80,1.3,32.5,15,18.8,30,2.5
取引形態別,二次卸,最終卸,128,7.8,39.1,24.2,15.6,12.5,0.8
取引形態別,その他,製造問屋,19,5.3,42.1,15.8,10.5,26.3,0
取引形態別,その他,その他卸,71,2.8,46.5,14.1,14.1,21.1,1.4
