学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,3,x,1,x,x,2,x,x
高校卒,3,21,3,x,5,126,0.6,5,210,1
高校卒,5,23,3,x,5,322,1.5,5,411,1.9
高校卒,10,28,3,x,5,834,3.6,5,2752,11.9
高校卒,15,33,3,x,5,1520,6.2,5,1692,6.9
高校卒,20,38,3,x,5,2386,9,5,2572,9.7
高校卒,25,43,3,x,5,3540,12.3,5,3928,13.7
高校卒,30,48,3,x,5,5098,16.2,5,5703,18.1
高校卒,35,53,3,x,5,6520,19,5,7350,21.4
高校卒,37,55,4,x,5,6849,20.8,5,7736,23.4
高校卒,定年,定年,3,x,-,-,-,5,10736,25.4
高専・短大卒,1,21,3,x,2,x,x,3,x,x
高専・短大卒,3,23,3,x,5,164,0.8,5,250,1.2
高専・短大卒,5,25,4,x,5,369,1.7,5,461,2.1
高専・短大卒,10,30,4,x,5,889,3.7,5,1011,4.2
高専・短大卒,15,35,4,x,5,1594,6.2,5,1773,6.9
高専・短大卒,20,40,4,x,5,2551,9.2,5,2765,10
高専・短大卒,25,45,4,x,5,3679,12.6,5,4092,14.1
高専・短大卒,30,50,4,x,5,5350,17.2,5,6007,19.3
高専・短大卒,35,55,4,x,5,6477,19.6,5,7300,22.1
高専・短大卒,定年,定年,3,x,-,-,-,5,9064,25.5
大学卒,1,23,6,223,5,153,0.7,4,x,x
大学卒,3,25,9,228,11,420,1.8,8,249,1.1
大学卒,5,27,10,249,13,646,2.6,9,568,2.3
大学卒,10,32,8,286,10,1274,4.5,8,1558,5.4
大学卒,15,37,10,326,13,2888,8.9,10,3231,9.9
大学卒,20,42,7,369,10,4231,11.5,7,4746,12.9
大学卒,25,47,8,383,10,5725,14.9,7,6977,18.2
大学卒,30,52,7,431,9,9996,23.2,7,9937,23.1
大学卒,33,55,8,459,9,11377,24.8,8,10252,22.3
大学卒,定年,定年,7,380,-,-,-,9,14422,38
