表側１,表側２,表側３,回答企業数(件),５千万円未満(％),５千万～１億円未満(％),１～３億円未満(％),３～５億円未満(％),５～10億円未満(％),10～30億円未満(％),30～50億円未満(％),50億円以上(％),無回答(％)
,,"今回調査
（全体）",767,27.0,14.1,19.0,8.1,9.8,13.2,2.7,3.4,2.7
,,前回調査,760,29.9,12.5,19.2,7.6,12.0,10.7,3.4,3.4,1.3
業種別,,食料品卸売業,213,23.9,10.8,17.4,8.0,15.0,16.0,3.8,5.2,0.0
業種別,,生鮮食品卸売業,91,20.9,9.9,23.1,4.4,13.2,18.7,5.5,4.4,0.0
業種別,,加工食品等卸売業,122,26.2,11.5,13.1,10.7,16.4,13.9,2.5,5.7,0.0
業種別,,衣料品関連卸売業,111,26.1,21.6,22.5,6.3,10.8,9.0,0.9,2.7,0.0
業種別,,住関連卸売業,155,27.7,12.9,21.3,10.3,8.4,12.3,3.9,1.9,1.3
業種別,,その他卸売業,270,30.7,15.2,18.9,8.1,6.7,14.1,2.2,3.3,0.7
従業者規模別,,１～５人,406,47.0,20.9,18.2,4.9,3.2,2.0,0.0,0.0,3.7
従業者規模別,,６～９人,119,4.2,13.4,44.5,14.3,11.8,7.6,1.7,1.7,0.8
従業者規模別,,10～49人,192,0.0,1.6,8.9,12.0,24.5,38.5,6.8,5.7,2.1
従業者規模別,,50人以上,28,0.0,0.0,0.0,0.0,0.0,32.1,21.4,46.4,0.0
取引形態別,一次卸,小売直取引卸,229,31.9,16.2,17.9,8.3,8.3,14.0,1.7,1.7,0.0
取引形態別,一次卸,他部門直取引卸,67,26.9,13.4,16.4,6.0,11.9,10.4,9.0,6.0,0.0
取引形態別,一次卸,元卸,127,12.6,13.4,18.1,14.2,12.6,18.9,3.1,6.3,0.8
取引形態別,二次卸,中間卸,93,30.1,15.1,19.4,6.5,8.6,11.8,3.2,4.3,1.1
取引形態別,二次卸,最終卸,131,25.2,13.0,21.4,7.6,13.7,15.3,0.8,2.3,0.8
取引形態別,その他,製造問屋,20,30.0,15.0,35.0,5.0,5.0,5.0,0.0,5.0,0.0
取引形態別,その他,その他卸,65,38.5,12.3,23.1,4.6,4.6,7.7,4.6,3.1,1.5
