表側１,表側２,表側３,回答企業数(件),駅周辺(%),商業地（駅周辺を除く）(%),ロードサイド(%),住宅街(%),オフィス街(%),工業地・倉庫街(%),その他(%),無回答(%)
,,今回調査（全体）,2141,27.0,22.7,6.0,34.6,2.8,0.1,2.8,4.1
業種別,,総合商品小売業,189,27.5,6.3,10.6,45.0,7.4,0.5,1.1,1.6
業種別,,生鮮食品小売業,134,24.6,26.9,1.5,38.1,2.2,0.7,4.5,1.5
業種別,,食料品関連小売業,535,19.8,23.7,6.7,42.6,1.5,0.0,3.4,2.2
業種別,,衣料品関連小売業,298,39.3,34.6,3.7,18.8,1.0,0.0,0.7,2.0
業種別,,住関連小売業,167,22.8,24.0,8.4,38.3,3.0,0.0,1.2,2.4
業種別,,その他小売業,773,30.1,21.6,5.8,33.1,3.5,0.0,3.8,2.1
従業者規模別,,１～２人,1066,23.4,24.5,4.5,38.6,1.8,0.0,2.7,4.6
従業者規模別,,３～５人,486,26.5,26.5,7.0,29.8,3.7,0.2,2.9,3.3
従業者規模別,,６～19人,336,31.3,19.9,7.1,31.0,4.2,0.0,3.0,3.6
従業者規模別,,20人以上,170,40.6,7.6,10.6,32.9,3.5,0.0,2.4,2.4
年間売上高増減別（3年前）,,増加（５％以上）,227,33.5,20.7,6.2,27.8,4.8,0.0,4.8,2.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,25.3,20.6,7.1,36.5,2.8,0.2,2.8,4.7
年間売上高増減別（3年前）,,やや減少（10％未満）,450,29.6,22.4,5.8,35.3,2.0,0.0,1.3,3.6
年間売上高増減別（3年前）,,減少（20％未満）,434,25.3,25.6,5.5,33.4,2.5,0.0,4.1,3.5
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,25.2,24.5,4.9,35.1,2.2,0.2,2.0,5.8
売上高経常利益率別,,黒字（プラス）,1093,28.0,20.6,7.1,35.4,3.1,0.2,2.7,2.9
売上高経常利益率別,,赤字（マイナス）,838,26.8,24.2,5.4,32.9,2.1,0.0,3.3,5.1
経常損益の変化別（3年前）,,増益,316,32.6,23.7,6.3,26.9,3.8,0.0,3.5,3.2
経常損益の変化別（3年前）,,横ばい,702,23.5,22.1,7.1,36.0,2.7,0.3,4.0,4.3
経常損益の変化別（3年前）,,減益,999,27.9,22.7,5.4,35.4,2.4,0.0,1.9,4.2
所在地別,,都心,167,29.3,28.1,3.0,7.8,24.6,0.0,3.6,3.6
所在地別,,副都心,216,27.3,24.1,3.7,31.0,4.2,0.5,6.0,3.2
所在地別,,城東,546,23.1,27.5,6.0,36.8,0.4,0.0,1.8,4.4
所在地別,,城南,215,29.8,27.9,2.3,30.2,1.4,0.5,3.3,4.7
所在地別,,城西,324,36.1,19.4,5.6,34.0,0.0,0.0,1.2,3.7
所在地別,,城北,158,22.8,26.6,3.2,38.6,0.0,0.0,1.9,7.0
所在地別,,多摩,504,24.6,14.1,10.7,43.8,0.8,0.0,3.0,3.0
