,,『増加』,『増加』,,『減少』,『減少』,,,
,,大幅(10％以上)増加,やや(10％未満)増加,ほぼ(±5％未満)   横ばい,やや(10％未満)減少,大幅(10％以上)減少,３年前は未創業,無回答,ｎ
,今回調査（全体）,10.9,14.7,46,8.3,14.6,1.4,4.3,2348
業種別,情報・コンテンツ業,13.6,18.1,41.6,8,14.5,1.4,2.8,640
業種別,専門サービス業,10,11.7,48.4,7.9,14.6,1.7,5.6,820
業種別,技術サービス業,10,14.1,50,9.4,12.9,0.6,2.9,340
業種別,事業サービス業,9.9,15.2,45.2,8.9,15.4,1.4,4.1,507
特定10業種別,ソフトウェア業,15.4,22,40.6,6.6,11.9,1.4,2.1,286
特定10業種別,インターネット附随サービス業,17.7,6.5,45.2,6.5,16.1,4.8,3.2,62
特定10業種別,映像情報制作・配給業,14.7,22.1,35.3,5.9,17.6,0,4.4,68
特定10業種別,出版業,1.8,9.1,43.6,20,23.6,0,1.8,55
特定10業種別,税理士事務所,8.3,17.9,49.1,7.8,11.9,0.5,4.6,218
特定10業種別,デザイン業,5.8,3.8,49,8.7,26,0,6.7,104
特定10業種別,経営コンサルタント業,13.4,8.9,44.1,11.2,12.8,2.2,7.3,179
特定10業種別,建築設計業,11.7,13.3,51.7,7.8,13.3,0.6,1.7,180
特定10業種別,自動車整備業,7.4,7.4,46.3,13,18.5,0,7.4,54
特定10業種別,建物サービス業,9.9,20.7,52.3,6.3,8.1,0,2.7,111
従業者規模別,1～2人,4.9,5.7,54,6.9,18.9,2.3,7.3,971
従業者規模別,3～5人,12.2,16.2,43.8,10.3,13.6,1.2,2.6,573
従業者規模別,6～9人,10.8,24.4,44.4,10,8,0.8,1.6,250
従業者規模別,10～29人,17.4,22.2,38,8.9,12,0.3,1.3,316
従業者規模別,30人以上,25.7,28.6,30.5,5.2,8.1,0,1.9,210
年間売上高増減別（３年前）,大幅(10％以上)増加,56,9,23.5,2.6,7.7,0,1.3,234
年間売上高増減別（３年前）,やや(10％未満)増加,13.9,45,34,3.4,2.9,0,0.8,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,5.1,15.6,72.7,3.6,2.1,0,0.9,662
年間売上高増減別（３年前）,やや(10％未満)減少,3.6,17.5,52.3,18.8,5.8,0,1.9,308
年間売上高増減別（３年前）,大幅(10％以上)減少,5.8,7.2,37.5,12.2,35.8,0,1.5,795
売上高経常利益率別,黒字,13,18.6,46.2,7.5,9.9,1.1,3.7,1409
売上高経常利益率別,赤字,7.8,8.4,44.3,10.1,23.7,2.3,3.5,693
経常損益の変化別（３年前）,増益,22.4,19,37.5,5.8,14.3,0,1.1,469
経常損益の変化別（３年前）,横ばい,6.5,17,62,6.4,6.9,0,1.2,765
経常損益の変化別（３年前）,減益,9.9,12.4,42.2,11.7,22.7,0,1,973
