,,300万円以下,"300万円超～1,000万円以下","1,000万円超～3,000万円以下","3,000万円超～5,000万円以下","5,000万円超",無回答,ｎ
,今回調査（全体）,41.2,39.1,11.7,3.3,2.6,2.1,1865
,前回調査,32.9,41.4,13.4,5.3,3.7,3.3,1673
業種別,情報・コンテンツ業,38,38,14.4,3.6,4.1,1.7,631
業種別,専門サービス業,51.8,36.9,6.2,1.2,1.2,2.8,434
業種別,技術サービス業,41.2,42.2,9.5,3.1,2.7,1.4,294
業種別,事業サービス業,35.2,39.9,15.5,5.2,1.9,2.4,466
特定10業種別,ソフトウェア業,35,33.9,19.8,3.5,5.3,2.5,283
特定10業種別,インターネット附随サービス業,45,36.7,6.7,3.3,6.7,1.7,60
特定10業種別,映像情報制作・配給業,48.5,36.8,7.4,5.9,1.5,0,68
特定10業種別,出版業,23.6,56.4,12.7,5.5,0,1.8,55
特定10業種別,税理士事務所,40,50,0,0,0,10,10
特定10業種別,デザイン業,47.7,50,2.3,0,0,0,86
特定10業種別,経営コンサルタント業,57.1,32,6.9,0.6,1.1,2.3,175
特定10業種別,建築設計業,40.3,43.5,9.1,2.6,3.2,1.3,154
特定10業種別,自動車整備業,51.4,45.7,2.9,0,0,0,35
特定10業種別,建物サービス業,35.2,37.1,19,1,1.9,5.7,105
従業者規模別,1～2人,68.4,28.1,2.1,0.3,0,1.2,677
従業者規模別,3～5人,41.6,47.3,6.4,1.4,1.6,1.8,440
従業者規模別,6～9人,27.2,51.2,16.4,1.4,1.9,1.9,213
従業者規模別,10～29人,16.8,50.8,21.5,4.3,4.6,2,303
従業者規模別,30人以上,4.3,29.2,35.9,17.2,11,2.4,209
