区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,16202,43.2,11.2,379774,10833,27300,5677727,11128,44.3,12.2,402144,11076,31287,6056787,5041,40.9,8.9,329470,10367,18574,4753839
建設業計,2111,43.6,12.2,365451,7387,46247,6040374,1837,43.6,12.5,376695,7388,50685,6265846,272,43.8,10.6,288735,7433,16704,4424974
建設業／総合工事業,869,44.5,11.7,376646,5935,49525,6321678,768,44.8,11.8,388598,5898,54229,6544472,99,41.6,11.5,279883,6343,12860,4382541
建設業／職別工事業,695,46,12.7,373000,8340,42801,5674314,591,46.2,13.3,387420,8426,46469,5868045,104,44.6,9,292079,7849,22896,4415061
建設業／設備工事業,547,39.2,12.4,338458,8484,45434,6060613,478,38.2,12.5,344641,8501,50141,6317252,69,45.5,11.7,295803,8370,12820,4489670
製造業計,3879,44.4,13.6,339606,12682,22162,5044387,2736,44.9,14.5,358413,13293,25186,5387821,1138,43.1,11.3,291979,11269,14916,4139490
製造業／食料品・たばこ・飼料製造業,182,45.3,14.3,319120,10396,11058,4422945,114,45.5,16,346392,10480,11526,4808789,68,45,11.4,258575,10256,10273,3574091
製造業／繊維・衣服製造業,118,46,16.3,349682,17480,27418,4805648,78,46.5,18.3,381818,18505,26392,5159070,39,45.2,12.3,285411,15877,29418,4036435
製造業／木材・木製品・紙・パルプ製造業,140,44.3,13,348160,12050,8279,4790049,99,46.1,15.5,378980,11634,9294,5210381,41,39.9,7,274495,13055,5828,3583290
製造業／印刷・同関連業,492,43.1,12.8,305338,13366,30575,4374026,287,44.8,14.6,330948,14529,32844,4708830,205,40.8,10.4,268660,11738,27397,3847628
製造業／化学工業,310,43.3,12.7,427226,16407,16935,5513514,175,44.1,14.6,439043,13709,18914,5991298,135,42.4,10.4,410440,19903,14439,4849474
製造業／プラスチック製品製造業,127,47.9,11,343401,13654,8977,5151237,82,47.8,12,382668,16873,9970,5909574,45,48,9.3,266735,7788,7108,3887340
製造業／ゴム製品・革・毛皮製造業,82,47.7,18.5,366626,9788,6112,5187586,54,47.4,19,398256,10682,6992,5581758,26,48.2,17.4,302152,8684,4286,4296414
製造業／窯業・土石製品製造業,482,41.8,13.3,352691,12360,24434,5376265,370,42.6,14.1,375277,13048,28618,5724461,112,39.1,10.7,276923,10085,10614,4067658
製造業／鉄鋼・非鉄金属製造業,220,42,13.4,324044,15668,20584,5048159,169,42.4,14.3,333338,16528,21496,5222741,51,40.5,10.3,292630,12818,17565,4474535
