表側１,表側２,表側３,回答企業数(件),増加（５％以上）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),減少（20％未満）(%),大幅減少（20％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,10.4,30.7,17.1,19.5,17.3,0.3,4.8
業種別,,総合商品小売業,189,30.7,51.9,7.4,5.8,1.1,0.0,3.2
業種別,,生鮮食品小売業,134,6.0,31.3,20.1,18.7,20.1,0.0,3.7
業種別,,食料品関連小売業,535,10.1,32.7,20.4,19.6,14.4,0.2,2.6
業種別,,衣料品関連小売業,298,10.7,21.5,15.4,19.8,29.2,0.7,2.7
業種別,,住関連小売業,167,6.6,26.3,10.8,28.7,23.4,0.0,4.2
業種別,,その他小売業,773,7.6,30.4,19.5,21.7,17.9,0.4,2.5
従業者規模別,,１～２人,1066,6.1,23.4,17.0,22.8,25.7,0.4,4.7
従業者規模別,,３～５人,486,10.7,30.5,17.3,22.8,13.6,0.0,5.1
従業者規模別,,６～19人,336,15.8,45.5,22.0,10.7,1.5,0.6,3.9
従業者規模別,,20人以上,170,25.9,53.5,8.8,6.5,1.2,0.0,4.1
年間売上高増減別（3年前）,,増加（５％以上）,227,46.3,41.4,5.7,3.5,1.3,0.0,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,12.8,56.8,15.3,6.7,3.1,0.0,5.3
年間売上高増減別（3年前）,,やや減少（10％未満）,450,4.7,29.1,35.1,20.9,7.3,0.0,2.9
年間売上高増減別（3年前）,,減少（20％未満）,434,2.5,19.4,17.5,42.4,14.5,0.0,3.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,3.1,10.6,7.9,19.3,53.9,0.0,5.2
店舗立地環境別,,駅周辺,579,11.4,33.0,20.7,17.4,13.1,0.3,4.0
店舗立地環境別,,商業地（駅周辺を除く,485,9.9,29.3,18.1,20.0,20.2,0.2,2.3
店舗立地環境別,,ロードサイド,128,13.3,43.0,13.3,11.7,14.8,0.0,3.9
店舗立地環境別,,住宅街,740,9.9,30.3,15.3,22.6,19.7,0.3,2.0
店舗立地環境別,,オフィス街,60,16.7,31.7,20.0,18.3,11.7,1.7,0.0
店舗立地環境別,,工業地・倉庫街,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
店舗立地環境別,,その他,59,8.5,30.5,16.9,27.1,11.9,0.0,5.1
所在地別,,都心,167,12.6,35.3,13.2,21.6,13.2,0.6,3.6
所在地別,,副都心,216,16.2,31.5,15.3,18.5,14.4,0.5,3.7
所在地別,,城東,546,9.5,31.1,18.9,16.3,20.9,0.2,3.1
所在地別,,城南,215,9.3,26.0,21.9,20.9,17.2,0.0,4.7
所在地別,,城西,324,8.0,32.7,15.1,24.7,14.2,0.0,5.2
所在地別,,城北,158,5.1,25.3,18.4,20.9,22.8,0.6,7.0
所在地別,,多摩,504,11.7,30.6,16.3,18.5,16.7,0.4,6.0
