区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,5967,40.6,11.3,357263,11215,43067,5850833,4882,41.5,12,367460,11412,45075,6036351,951,36.8,7.7,300489,9060,32041,4724578
建設業,2268,40.4,11.6,370711,10117,50747,6445365,1952,41.2,12.1,375093,9531,50631,6554013,184,34.1,6.2,310843,9513,54512,5123527
製造業,955,44.2,14.1,376280,14354,30146,5734201,824,44.9,14.9,392069,14704,31116,5932731,131,39.4,8.7,277322,12155,23603,4234416
情報通信業,1240,36,9.4,328310,9778,40045,5165912,925,37.4,10.6,344940,10576,42323,5377039,313,32,6.1,278962,7483,33655,4496704
運輸業，郵便業,23,50.2,9.3,298355,5932,22670,4166543,17,50.9,9.1,307486,6883,22424,4192900,6,48.3,9.7,272481,3237,23367,4091867
卸売業，小売業,296,42.2,10.5,346666,11133,27448,5330553,203,43,10.3,367609,12039,29847,5716997,93,40.5,10.7,300952,9155,21933,4427111
金融業，保険業,104,42.1,8.6,508594,14185,34440,8038171,86,40.2,6.6,492173,15640,34495,7836225,18,51.2,18.5,587048,7235,34172,8756200
不動産業，物品賃貸業,68,41.8,7,375070,13423,30900,5806058,63,43.1,7.4,385812,14251,29982,5990733,5,25.6,2,239726,2984,42470,3811560
学術研究，専門・技術サービス業,157,39.9,8.1,358225,6842,26972,5474792,107,40.1,8.1,362410,7229,34081,5442730,50,39.5,8.1,349268,6013,11332,5549603
宿泊業，飲食サービス業,17,39.4,8.2,416466,17384,264,4450965,11,43.2,9.2,469399,19958,408,5153982,6,32.5,6.5,319421,12665,0,3162100
生活関連サービス業，娯楽業,29,44.1,10.3,355561,13269,16056,4542441,20,45,9.1,374565,13046,18690,4914894,9,42.2,13,313330,13763,10202,3797533
教育，学習支援業（学校教育を除く）,79,47.9,13.3,345195,15356,87274,6532651,58,50.1,13.9,354851,16824,102268,6572014,21,41.7,11.7,318527,11302,45863,6365358
医療，福祉,140,42.1,5.7,311125,10776,16589,4510700,60,42,5.1,302387,12408,17564,4372187,80,42.2,6.2,317678,9551,15757,4604400
サービス業（他に分類されないもの）,591,42.6,13.4,325359,13279,58246,5547199,556,42.4,13.4,329233,13372,61103,5631120,35,45.6,13.9,263802,11815,13913,4227342
