表側１,表側２,表側３,回答企業数(件),有(％),無(％),無回答(％)
,,今回調査（全体）,760,74.9,23,2.1
,,前回調査,823,76.2,19.9,3.9
業種別,,食料品卸売業,237,76.4,20.7,3
業種別,,生鮮食品卸売業,126,81,15.9,3.2
業種別,,加工食品等卸売業,111,71.2,26.1,2.7
業種別,,衣料品関連卸売業,145,71.7,26.9,1.4
業種別,,住関連卸売業,83,74.7,24.1,1.2
業種別,,その他卸売業,288,75.3,22.6,2.1
