表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,725,7,11.7,17.9,20.6,40.6,2.2
業種別,,食料品卸売業,222,7.2,16.2,14,25.2,36,1.4
業種別,,生鮮食品卸売業,116,4.3,17.2,14.7,25,36.2,2.6
業種別,,加工食品等卸売業,106,10.4,15.1,13.2,25.5,35.8,0
業種別,,衣料品関連卸売業,140,7.1,6.4,14.3,15.7,54.3,2.1
業種別,,住関連卸売業,80,3.8,12.5,22.5,20,37.5,3.8
業種別,,その他卸売業,276,7.6,10.5,21.7,19.6,38,2.5
従業者規模別,,1～5人,376,4.5,8.2,14.9,18.4,52.1,1.9
従業者規模別,,6～9人,99,10.1,12.1,19.2,24.2,32.3,2
従業者規模別,,10～49人,204,8.3,14.7,21.6,25,27.9,2.5
従業者規模別,,50人以上,35,17.1,31.4,22.9,8.6,14.3,5.7
取引形態別,一次卸,小売直取引卸,212,8.5,8.5,19.3,17.5,43.4,2.8
取引形態別,一次卸,他部門直取引卸,47,12.8,17,21.3,21.3,23.4,4.3
取引形態別,一次卸,元卸,148,9.5,16.2,21.6,21.6,30.4,0.7
取引形態別,二次卸,中間卸,80,0,12.5,10,23.8,52.5,1.3
取引形態別,二次卸,最終卸,128,5.5,9.4,14.8,28.9,40.6,0.8
取引形態別,その他,製造問屋,19,10.5,10.5,21.1,10.5,42.1,5.3
取引形態別,その他,その他卸,71,5.6,14.1,21.1,9.9,46.5,2.8
