区分,集計企業数（社）,"資本金／1,000万円未満（社）","資本金／1,000万～3,000万円未満（社）","資本金／3,000万～5,000万円未満（社）","資本金／5,000万～1億円未満（社）",資本金／1億円以上（社）,資本金／無回答,企業規模／10～49人（社）,企業規模／50～99人（社）,企業規模／100～299人（社）
調査産業計,1012,132,360,173,192,155,-,642,225,145
建設業,85,2,25,14,25,19,-,35,25,25
製造業,274,7,101,71,57,38,-,154,64,56
情報通信業,50,1,19,7,13,10,-,28,11,11
運輸業，郵便業,55,4,34,6,7,4,-,24,14,17
卸売業，小売業,195,46,66,35,34,14,-,157,33,5
金融業，保険業,43,1,-,-,1,41,-,12,18,13
不動産業，物品賃貸業,30,1,9,3,7,10,-,12,11,7
学術研究，専門・技術サービス業,58,7,20,14,14,3,-,42,12,4
宿泊業，飲食サービス業,49,16,20,3,6,4,-,43,4,2
生活関連サービス業，娯楽業,33,5,8,5,13,2,-,26,7,-
教育，学習支援業(学校教育を除く）,32,9,13,4,2,4,-,24,8,-
医療，福祉,43,26,7,2,3,5,-,40,3,-
サービス業（他に分類されないもの）,65,7,38,9,10,1,-,45,15,5
