表側１,表側２,表側３,回答企業数(件),３年以内(%),４～５年前(%),６～10年前(%),11～15年前(%),16年以上前(%),改装したことがない(%),無回答(%)
,,今回調査（全体）,2141,8.5,7.3,12.9,11.3,26.3,30.7,2.9
,,前回調査,2003,9.0,6.4,13.3,9.9,30.1,29.7,1.5
業種別,,総合商品小売業,189,15.9,10.1,27.5,11.6,6.9,28.0,0.0
業種別,,生鮮食品小売業,134,9.7,5.2,12.7,8.2,33.6,27.6,3.0
業種別,,食料品関連小売業,535,7.1,8.4,11.0,8.8,32.5,31.4,0.7
業種別,,衣料品関連小売業,298,10.1,7.0,12.8,14.1,29.5,26.2,0.3
業種別,,住関連小売業,167,6.6,5.4,13.8,13.8,31.7,26.3,2.4
業種別,,その他小売業,773,7.6,7.1,11.4,12.7,24.6,35.8,0.8
従業者規模別,,１～２人,1066,5.2,5.0,9.8,10.0,32.6,34.4,3.0
従業者規模別,,３～５人,486,8.4,7.2,11.9,12.3,28.4,28.6,3.1
従業者規模別,,６～19人,336,15.2,11.0,18.5,13.1,14.6,25.3,2.4
従業者規模別,,20人以上,170,15.9,15.9,24.1,11.2,6.5,23.5,2.9
売上高規模別,,１千万円未満,878,5.0,4.6,9.7,8.9,33.8,35.0,3.1
売上高規模別,,１～３千万円未満,456,6.4,6.1,10.5,12.3,29.6,31.4,3.7
売上高規模別,,３～５千万円未満,175,13.1,8.0,13.1,14.3,21.7,28.0,1.7
売上高規模別,,５千万～１億円未満,172,9.9,9.3,11.6,16.9,19.2,29.7,3.5
売上高規模別,,１～３億円未満,242,15.3,11.6,23.1,11.6,10.7,26.4,1.2
売上高規模別,,３～５億円未満,72,13.9,19.4,19.4,19.4,8.3,16.7,2.8
売上高規模別,,５億円以上,80,21.3,18.8,20.0,10.0,8.8,18.8,2.5
