表側１,表側２,表側３,回答企業数(件),自企業（法人）所有(%),経営者（個人）所有(%),賃借（第三者所有）(%),その他(%),無回答(%)
,,今回調査（全体）,2141,4.3,41.0,48.8,2.7,3.3
,,前回調査,2003,4.4,42.9,47.2,2.6,2.8
業種別,,総合商品小売業,189,3.7,12.2,79.9,2.6,1.6
業種別,,生鮮食品小売業,134,7.5,48.5,41.8,0.7,1.5
業種別,,食料品関連小売業,535,5.4,53.1,37.2,3.0,1.3
業種別,,衣料品関連小売業,298,3.0,36.9,55.0,3.4,1.7
業種別,,住関連小売業,167,4.2,51.5,37.1,4.2,3.0
業種別,,その他小売業,773,3.8,39.8,53.3,2.3,0.8
従業者規模別,,１～２人,1066,2.2,52.5,38.8,3.1,3.4
従業者規模別,,３～５人,486,5.3,43.0,45.7,2.5,3.5
従業者規模別,,６～19人,336,7.4,18.2,69.3,2.4,2.7
従業者規模別,,20人以上,170,7.1,11.2,77.1,1.8,2.9
創業時期別,,1940年以前,186,7.5,62.4,22.6,4.8,2.7
創業時期別,,1941～1950年,166,6.0,58.4,25.3,4.2,6.0
創業時期別,,1951～1960年,297,6.4,57.6,29.3,3.7,3.0
創業時期別,,1961～1970年,211,6.6,56.9,32.2,0.0,4.3
創業時期別,,1971～1980年,242,4.5,45.0,45.5,1.7,3.3
創業時期別,,1981～1990年,201,0.5,35.3,58.7,2.5,3.0
創業時期別,,1991～2000年,250,2.8,21.6,70.4,2.8,2.4
創業時期別,,2001～2010年,270,1.9,17.4,75.6,1.9,3.3
創業時期別,,2011年以降,205,2.4,15.1,79.0,1.5,2.0
