表側１,表側２,表側３,回答企業数(件),黒字が拡大(%),赤字から黒字に転換(%),赤字だが損失額は縮小(%),黒字でほぼ横ばい（±５％未満）(%),赤字でほぼ横ばい（±５％未満）(%),黒字だが利益額は減少(%),黒字から赤字に転落(%),赤字が拡大(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,4.3,3.4,7.1,14.0,18.8,22.8,8.7,15.1,0.5,5.3
業種別,,総合商品小売業,189,7.9,3.7,6.3,33.9,3.7,27.5,5.8,5.8,0.5,4.8
業種別,,生鮮食品小売業,134,3.0,1.5,6.0,17.2,17.2,26.9,8.2,11.9,0.0,8.2
業種別,,食料品関連小売業,535,3.9,2.4,7.9,12.1,25.2,21.5,7.9,13.8,0.4,4.9
業種別,,衣料品関連小売業,298,4.7,2.7,6.4,7.0,19.8,15.4,11.1,26.8,0.7,5.4
業種別,,住関連小売業,167,3.0,1.8,8.4,12.6,17.4,24.0,8.4,15.6,0.6,8.4
業種別,,その他小売業,773,4.3,5.0,6.9,12.7,18.5,24.5,8.9,14.0,0.5,4.8
従業者規模別,,１～２人,1066,1.0,2.3,6.7,10.0,23.6,24.9,7.7,17.9,0.6,5.3
従業者規模別,,３～５人,486,5.3,3.5,7.6,13.4,17.9,20.0,9.7,16.5,0.0,6.2
従業者規模別,,６～19人,336,7.7,6.3,6.3,20.8,12.8,22.0,11.0,8.0,0.6,4.5
従業者規模別,,20人以上,170,14.7,4.1,7.6,29.4,4.1,25.3,5.3,5.9,0.6,2.9
,,,,,,,,,,,,,
