表側１,表側２,表側３,回答企業数(件),1％未満(％),1～5％未満(％),5～10％未満(％),10～20％未満(％),20～50％未満(％),50％以上(％),無回答(％)
,,今回調査（全体）,266,11.3,22.6,19.5,18.8,25.2,0,2.6
,,前回調査,316,9.8,17.7,11.4,20.6,22.5,11.4,6.6
業種別,,食料品卸売業,95,14.7,21.1,14.7,20,24.2,0,5.3
業種別,,生鮮食品卸売業,40,15,27.5,17.5,12.5,22.5,0,5
業種別,,加工食品等卸売業,55,14.5,16.4,12.7,25.5,25.5,0,5.5
業種別,,衣料品関連卸売業,57,5.3,19.3,21.1,26.3,26.3,0,1.8
業種別,,住関連卸売業,26,11.5,26.9,23.1,3.8,30.8,0,3.8
業種別,,その他卸売業,84,10.7,26.2,22.6,17.9,22.6,0,0
従業者規模別,,1～5人,142,8.5,16.2,21.8,23.9,28.2,0,1.4
従業者規模別,,6～9人,36,13.9,25,19.4,8.3,27.8,0,5.6
従業者規模別,,10～49人,69,17.4,30.4,14.5,13,20.3,0,4.3
従業者規模別,,50人以上,12,8.3,16.7,25,25,25,0,0
取引形態別,一次卸,小売直取引卸,87,8,28.7,19.5,16.1,27.6,0,0
取引形態別,一次卸,他部門直取引卸,6,16.7,16.7,16.7,16.7,33.3,0,0
取引形態別,一次卸,元卸,49,12.2,26.5,16.3,18.4,20.4,0,6.1
取引形態別,二次卸,中間卸,24,4.2,16.7,20.8,33.3,20.8,0,4.2
取引形態別,二次卸,最終卸,62,17.7,19.4,17.7,16.1,25.8,0,3.2
取引形態別,その他,製造問屋,6,0,16.7,33.3,33.3,16.7,0,0
取引形態別,その他,その他卸,21,4.8,14.3,23.8,28.6,28.6,0,0
売上高増減別(前年同期比),,増加,21,19,28.6,19,19,4.8,0,9.5
売上高増減別(前年同期比),,横ばい,32,15.6,34.4,15.6,12.5,18.8,0,3.1
売上高増減別(前年同期比),,減少,210,9.5,20,20,20,28.6,0,1.9
売上高増減別(３年前),,増加,49,22.4,30.6,18.4,10.2,14.3,0,4.1
売上高増減別(３年前),,横ばい,37,5.4,21.6,24.3,16.2,29.7,0,2.7
売上高増減別(３年前),,減少,161,9.3,19.3,19.3,22.4,27.3,0,2.5
