表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(％),やや増加（10％未満）(％),ほぼ横ばい（±５％未満）(％),やや減少（10％未満）(％),大幅減少（10％以上）(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",767,12.6,12.9,22.7,18.8,29.9,0.0,3.1
業種別,,食料品卸売業,213,12.7,18.8,23.0,18.3,26.3,0.0,0.9
業種別,,生鮮食品卸売業,91,14.3,17.6,20.9,22.0,25.3,0.0,0.0
業種別,,加工食品等卸売業,122,11.5,19.7,24.6,15.6,27.0,0.0,1.6
業種別,,衣料品関連卸売業,111,8.1,10.8,20.7,19.8,39.6,0.0,0.9
業種別,,住関連卸売業,155,17.4,11.0,23.9,18.1,29.0,0.0,0.6
業種別,,その他卸売業,270,12.6,11.1,23.7,20.4,31.1,0.0,1.1
従業者規模別,,１～５人,406,7.6,8.9,23.6,20.2,36.0,0.0,3.7
従業者規模別,,６～９人,119,17.6,15.1,22.7,17.6,26.1,0.0,0.8
従業者規模別,,10～49人,192,19.3,20.8,21.9,17.7,17.7,0.0,2.6
従業者規模別,,50人以上,28,25.0,14.3,14.3,7.1,35.7,0.0,3.6
取引形態別,一次卸,小売直取引卸,229,12.7,10.5,24.0,17.9,33.6,0.0,1.3
取引形態別,一次卸,他部門直取引卸,67,19.4,6.0,23.9,17.9,32.8,0.0,0.0
取引形態別,一次卸,元卸,127,19.7,15.7,24.4,15.7,22.8,0.0,1.6
取引形態別,二次卸,中間卸,93,6.5,23.7,16.1,21.5,32.3,0.0,0.0
取引形態別,二次卸,最終卸,131,10.7,14.5,24.4,22.1,28.2,0.0,0.0
取引形態別,その他,製造問屋,20,15.0,25.0,10.0,20.0,30.0,0.0,0.0
取引形態別,その他,その他卸,65,9.2,4.6,26.2,18.5,40.0,0.0,1.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
