年度,製造業,電気・ガス・水道・廃棄物処理業,建設業,卸売・小売業,運輸・郵便業,宿泊・飲食サービス業,情報通信業,金融・保険業,不動産業,専門・科学技術、業務支援サービス業,公務,教育,保健衛生・社会事業,その他のサービス
2013,7.7,1.4,3.2,24.7,3.7,2.2,10.3,7.9,11.8,10.4,3.5,2.7,5.7,4.4
2014,8,1.4,3.2,23,3.9,2.3,10.6,7.8,12.2,10.9,3.6,2.8,5.8,4.4
2015,7.8,1.4,3.4,22.8,4,2.3,10.8,7.7,12.1,11.3,3.6,2.6,6,4.2
2016,7.7,1.4,3.9,22,4,2.4,11,7.4,12.3,11.5,3.6,2.6,6.1,4.1
2017,7.6,1.4,4.3,22.3,4,2.4,10.7,7.5,12.1,11.5,3.5,2.5,6.1,4.1
2018,7.5,1.4,4.2,22.4,4,2.3,10.8,7.6,12.1,11.5,3.6,2.5,6.1,4.1
2019,7.2,1.5,4,22,3.9,2.3,11.1,7.7,12.5,11.6,3.6,2.5,6.3,4
