産業,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
調査産業計,18,0,503,190873,100,-,-,-,-,-,-,-,-,-,-,-,-
調査産業計,20,0,174,197129,103.3,0,477,201389,100,0,493,201938,100,-,-,-,-
調査産業計,22,0,175,204882,107.3,0,168,209742,104.1,0,184,210542,104.3,0,673,215809,100
調査産業計,25,0,172,222460,116.5,0,160,224690,111.6,0,172,225816,111.8,0,267,233634,108.3
調査産業計,30,2,171,252002,132,2,158,257600,127.9,2,167,259959,128.7,2,257,272125,126.1
調査産業計,35,3,161,280082,146.7,3,149,286204,142.1,3,161,287916,142.6,3,239,308755,143.1
調査産業計,40,3,160,305551,160.1,3,142,313187,155.5,3,149,316820,156.9,3,237,344993,159.9
調査産業計,45,3,152,332336,174.1,3,135,345390,171.5,3,147,346854,171.8,3,214,383085,177.5
調査産業計,50,3,150,358465,187.8,3,135,376033,186.7,3,140,377741,187.1,3,212,417395,193.4
調査産業計,55,2,146,375257,196.6,2,132,394478,195.9,2,135,397696,196.9,2,202,436296,202.2
調査産業計,60,1,140,384880,201.6,1,131,403271,200.2,1,135,405356,200.7,1,193,444233,205.8
建設業,18,0,63,192043,100,-,-,-,-,-,-,-,-,-,-,-,-
建設業,20,0,23,200796,104.6,0,53,203234,100,0,52,204383,100,-,-,-,-
建設業,22,0,23,213126,111,0,22,216086,106.3,0,22,218614,107,0,65,218654,100
建設業,25,0,21,226748,118.1,0,20,231420,113.9,0,20,234805,114.9,0,29,240821,110.1
建設業,30,2,21,260848,135.8,2,19,271505,133.6,2,19,274621,134.4,2,28,281486,128.7
建設業,35,3,20,297225,154.8,3,18,304900,150,3,18,309483,151.4,3,26,322015,147.3
建設業,40,3,21,328771,171.2,3,17,332953,163.8,3,17,338318,165.5,3,25,360308,164.8
建設業,45,3,21,363948,189.5,3,18,373711,183.9,3,18,379056,185.5,3,26,400812,183.3
建設業,50,3,20,387655,201.9,3,17,403253,198.4,3,17,410412,200.8,3,25,439452,201
建設業,55,2,19,414400,215.8,2,17,431382,212.3,2,17,439600,215.1,2,25,467988,214
建設業,60,1,18,423222,220.4,1,17,439894,216.4,1,17,447700,219,1,22,479936,219.5
製造業,18,0,164,183358,100,-,-,-,-,-,-,-,-,-,-,-,-
製造業,20,0,60,190018,103.6,0,142,195551,100,0,139,196461,100,-,-,-,-
製造業,22,0,57,199537,108.8,0,51,206273,105.5,0,52,207410,105.6,0,189,212621,100
製造業,25,0,56,215380,117.5,0,47,220153,112.6,0,45,219762,111.9,0,77,228186,107.3
製造業,30,2,57,243396,132.7,2,46,251259,128.5,2,46,251878,128.2,2,76,263300,123.8
製造業,35,3,53,271028,147.8,3,41,278678,142.5,3,43,273435,139.2,3,68,293774,138.2
製造業,40,3,55,300798,164,3,41,309193,158.1,3,40,307188,156.4,3,73,332408,156.3
製造業,45,3,52,326512,178.1,3,39,342615,175.2,3,42,337633,171.9,3,63,365414,171.9
製造業,50,3,53,354217,193.2,3,41,375288,191.9,3,39,364013,185.3,3,65,407160,191.5
製造業,55,2,52,373560,203.7,2,40,393405,201.2,2,38,389024,198,2,60,430327,202.4
製造業,60,1,48,384754,209.8,1,39,403064,206.1,1,38,395068,201.1,1,57,436870,205.5
情報通信業,18,0,15,191467,100,-,-,-,-,-,-,-,-,-,-,-,-
情報通信業,20,0,9,209833,109.6,0,24,200833,100,0,29,200379,100,-,-,-,-
情報通信業,22,0,9,225256,117.6,0,13,217962,108.5,0,17,216771,108.2,0,42,217874,100
情報通信業,25,0,9,247500,129.3,0,12,239117,119.1,0,15,239053,119.3,0,24,241546,110.9
情報通信業,30,2,9,302522,158,2,12,288775,143.8,2,15,286560,143,2,22,289059,132.7
情報通信業,35,3,8,351238,183.4,3,11,332436,165.5,3,14,330700,165,3,20,337920,155.1
情報通信業,40,3,7,374486,195.6,3,10,373440,185.9,3,13,373138,186.2,3,21,391610,179.7
情報通信業,45,3,7,409800,214,3,10,413950,206.1,3,12,407158,203.2,3,18,431683,198.1
情報通信業,50,3,8,441863,230.8,3,10,445520,221.8,3,12,440958,220.1,3,19,478863,219.8
情報通信業,55,2,7,464857,242.8,2,10,456130,227.1,2,12,453642,226.4,2,18,490433,225.1
情報通信業,60,1,7,459314,239.9,1,10,442270,220.2,1,12,447100,223.1,1,16,498300,228.7
運輸業，郵便業,18,0,23,204078,100,-,-,-,-,-,-,-,-,-,-,-,-
運輸業，郵便業,20,0,8,199963,98,0,24,204413,100,0,23,205930,100,-,-,-,-
運輸業，郵便業,22,0,8,203900,99.9,0,8,187863,91.9,0,8,190338,92.4,0,30,215993,100
運輸業，郵便業,25,0,9,207356,101.6,0,10,197770,96.8,0,9,197989,96.1,0,13,215200,99.6
運輸業，郵便業,30,2,8,223263,109.4,2,8,218875,107.1,2,8,224775,109.2,2,11,240318,111.3
運輸業，郵便業,35,3,8,230400,112.9,3,8,232238,113.6,3,8,242550,117.8,3,11,264591,122.5
運輸業，郵便業,40,3,8,237013,116.1,3,8,243775,119.3,3,7,257529,125.1,3,11,294673,136.4
運輸業，郵便業,45,3,8,243825,119.5,3,9,261822,128.1,3,8,278838,135.4,3,10,315630,146.1
運輸業，郵便業,50,3,8,250263,122.6,3,8,262988,128.7,3,7,276171,134.1,3,10,333980,154.6
運輸業，郵便業,55,2,8,256513,125.7,2,8,272488,133.3,2,7,284243,138,2,10,353750,163.8
運輸業，郵便業,60,1,8,263575,129.2,1,8,282050,138,1,7,293100,142.3,1,10,368520,170.6
卸売業，小売業,18,0,98,190042,100,-,-,-,-,-,-,-,-,-,-,-,-
卸売業，小売業,20,0,28,201379,106,0,96,200751,100,0,102,199120,100,-,-,-,-
卸売業，小売業,22,0,29,199183,104.8,0,27,213226,106.2,0,30,211147,106,0,128,213649,100
卸売業，小売業,25,0,30,226503,119.2,0,27,229970,114.6,0,30,228403,114.7,0,44,238230,111.5
卸売業，小売業,30,2,28,256271,134.8,2,28,257929,128.5,2,29,262152,131.7,2,41,279229,130.7
卸売業，小売業,35,3,27,285085,150,3,26,287696,143.3,3,28,290168,145.7,3,40,314573,147.2
卸売業，小売業,40,3,26,315127,165.8,3,25,320108,159.5,3,27,323674,162.6,3,40,352998,165.2
卸売業，小売業,45,3,24,346158,182.1,3,22,356627,177.6,3,24,363300,182.5,3,35,399994,187.2
卸売業，小売業,50,3,22,374050,196.8,3,22,387627,193.1,3,23,392917,197.3,3,33,427321,200
卸売業，小売業,55,2,22,390900,205.7,2,22,406650,202.6,2,22,415964,208.9,2,34,453785,212.4
卸売業，小売業,60,1,22,403823,212.5,1,22,420014,209.2,1,22,429395,215.6,1,34,465282,217.8
金融業,18,0,9,204211,100,-,-,-,-,-,-,-,-,-,-,-,-
金融業,20,0,1,x,x,0,11,216109,100,0,12,213100,100,-,-,-,-
金融業,22,0,2,x,x,0,3,x,x,0,3,x,x,0,26,225931,100
金融業,25,0,2,x,x,0,3,x,x,0,3,x,x,0,6,237967,105.3
金融業,30,2,2,x,x,2,3,x,x,2,3,x,x,2,6,306850,135.8
金融業,35,3,2,x,x,3,3,x,x,3,3,x,x,3,6,405250,179.4
金融業,40,3,1,x,x,3,2,x,x,3,2,x,x,3,4,x,x
金融業,45,3,1,x,x,3,2,x,x,3,2,x,x,3,3,x,x
金融業,50,3,1,x,x,3,2,x,x,3,2,x,x,3,3,x,x
金融業,55,2,1,x,x,2,2,x,x,2,2,x,x,2,3,x,x
金融業,60,1,1,x,x,1,2,x,x,1,2,x,x,1,3,x,x
不動産業，物品賃貸業,18,0,11,205573,100,-,-,-,-,-,-,-,-,-,-,-,-
不動産業，物品賃貸業,20,0,4,x,x,0,17,210259,100,0,16,213706,100,-,-,-,-
