表側１,表側２,表側３,回答企業数(件),大いに進んだ(％),やや進んだ(％),変わらない(％),後退した(％),わからない(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",767,4.8,35.1,43.9,0.4,11.2,0.0,4.6
業種別,,食料品卸売業,213,2.3,35.2,45.1,0.0,10.3,0.0,7.0
業種別,,生鮮食品卸売業,91,2.2,27.5,50.5,0.0,12.1,0.0,7.7
業種別,,加工食品等卸売業,122,2.5,41.0,41.0,0.0,9.0,0.0,6.6
業種別,,衣料品関連卸売業,111,7.2,32.4,43.2,0.0,9.9,0.0,7.2
業種別,,住関連卸売業,155,5.2,38.7,40.0,0.6,12.3,0.0,3.2
業種別,,その他卸売業,270,5.9,33.7,45.6,0.7,11.9,0.0,2.2
従業者規模別,,１～５人,406,2.5,23.2,51.5,0.7,15.5,0.0,6.7
従業者規模別,,６～９人,119,6.7,42.9,41.2,0.0,6.7,0.0,2.5
従業者規模別,,10～49人,192,7.3,54.7,31.8,0.0,5.2,0.0,1.0
従業者規模別,,50人以上,28,14.3,46.4,32.1,0.0,0.0,0.0,7.1
取引形態別,一次卸,小売直取引卸,229,3.9,34.9,46.3,0.4,10.5,0.0,3.9
取引形態別,一次卸,他部門直取引卸,67,6.0,47.8,43.3,0.0,1.5,0.0,1.5
取引形態別,一次卸,元卸,127,11.8,43.3,36.2,0.0,4.7,0.0,3.9
取引形態別,二次卸,中間卸,93,0.0,24.7,47.3,0.0,19.4,0.0,8.6
取引形態別,二次卸,最終卸,131,3.1,36.6,42.0,0.0,13.7,0.0,4.6
取引形態別,その他,製造問屋,20,0.0,30.0,45.0,0.0,25.0,0.0,0.0
取引形態別,その他,その他卸,65,7.7,23.1,46.2,0.0,16.9,0.0,6.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,10.0,43.3,39.2,0.0,5.8,0.0,1.7
年間売上高増減別（3年前）,,やや増加（10％未満）,108,2.8,41.7,44.4,0.0,7.4,0.0,3.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,3.2,34.4,51.3,0.0,10.4,0.0,0.6
年間売上高増減別（3年前）,,やや減少（10％未満）,124,4.8,32.3,44.4,0.8,10.5,0.0,7.3
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,3.9,29.2,41.6,0.9,16.7,0.0,7.7
売上高経常利益率別,,黒字（プラス）,462,6.5,39.8,42.0,0.0,8.4,0.0,3.2
売上高経常利益率別,,赤字（マイナス）,271,2.2,28.0,48.0,1.1,14.4,0.0,6.3
経常損益の変化別（3年前）,,増益,197,7.6,42.6,38.1,0.0,9.6,0.0,2.0
経常損益の変化別（3年前）,,横ばい,240,2.9,30.0,49.6,0.0,11.3,0.0,6.3
経常損益の変化別（3年前）,,減益,305,4.6,34.1,43.9,1.0,11.8,0.0,4.6
