表側,回答企業数(件),食料品卸売業(％),生鮮食品卸売業(％),加工食品等卸売業(％),衣料品関連卸売業(％),住関連卸売業(％),その他卸売業(％),無回答(％)
"今回調査
（全体）",767,27.8,11.9,15.9,14.5,20.2,35.2,2.3
前回調査,760,31.2,16.6,14.6,19.1,10.9,37.9,0.9
