表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(%),やや増加（10％未満）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),大幅減少（10％以上）(%),３年前は実施していない(%),３年前は未創業(%),無回答(%)
,,"今回調査
（全体）",410,10.2,23.7,39.5,8.8,6.1,5.9,0.2,5.6
業種別,,総合商品小売業,60,10.0,40.0,41.7,1.7,0.0,0.0,0.0,6.7
業種別,,生鮮食品小売業,8,25.0,0.0,50.0,12.5,0.0,12.5,0.0,0.0
業種別,,食料品関連小売業,86,7.0,23.3,43.0,8.1,3.5,9.3,0.0,5.8
業種別,,衣料品関連小売業,73,11.0,21.9,39.7,12.3,4.1,8.2,0.0,2.7
業種別,,住関連小売業,20,15.0,15.0,40.0,10.0,20.0,0.0,0.0,0.0
業種別,,その他小売業,159,10.7,21.4,35.2,10.1,9.4,5.0,0.6,7.5
従業者規模別,,１～２人,129,8.5,15.5,41.9,11.6,11.6,3.9,0.8,6.2
従業者規模別,,３～５人,96,6.3,18.8,45.8,9.4,4.2,11.5,0.0,4.2
従業者規模別,,６～19人,103,14.6,31.1,35.9,5.8,3.9,3.9,0.0,4.9
従業者規模別,,20人以上,68,10.3,32.4,35.3,8.8,1.5,4.4,0.0,7.4
年間売上高増減別（3年前）,,増加（５％以上）,88,18.2,28.4,35.2,6.8,3.4,2.3,0.0,5.7
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,124,8.1,29.8,46.0,4.8,2.4,4.8,0.0,4.0
年間売上高増減別（3年前）,,やや減少（10％未満）,73,9.6,23.3,42.5,11.0,4.1,4.1,0.0,5.5
年間売上高増減別（3年前）,,減少（20％未満）,53,5.7,9.4,45.3,15.1,7.5,11.3,0.0,5.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,61,8.2,18.0,27.9,13.1,19.7,9.8,0.0,3.3
売上高経常利益率別,,黒字（プラス）,230,11.3,29.6,36.5,7.8,5.2,3.5,0.4,5.7
売上高経常利益率別,,赤字（マイナス）,150,8.7,14.7,45.3,10.7,8.0,7.3,0.0,5.3
経常損益の変化別（3年前）,,増益,97,17.5,22.7,38.1,8.2,3.1,3.1,0.0,7.2
経常損益の変化別（3年前）,,横ばい,136,10.3,29.4,46.3,4.4,0.7,4.4,0.0,4.4
経常損益の変化別（3年前）,,減益,167,6.6,21.0,35.3,13.2,12.0,8.4,0.0,3.6
