表側１,表側２,表側３,回答企業数(件),3百万円未満(％),3～5百万円未満(％),5百万～1千万円未満(％),1～2千万円未満(％),2～3千万円未満(％),3～5千万円未満(％),5千万円以上(％),無回答(％)
,,今回調査（全体）,858,9.6,44.2,11.3,27.5,1.7,1.2,1.5,3
,,前回調査,950,7.7,46.4,11.7,26.5,2.8,2.3,0.8,1.7
業種別,,総合商品小売業,80,21.3,45,6.3,20,3.8,1.3,1.3,1.3
業種別,,生鮮食品小売業,27,11.1,55.6,18.5,11.1,0,0,3.7,0
業種別,,食料品関連小売業,200,10.5,47,12.5,21,1.5,0.5,2,5
業種別,,衣料品関連小売業,133,6.8,36.8,12,39.8,1.5,1.5,1.5,0
業種別,,住関連小売業,73,5.5,43.8,8.2,32.9,2.7,1.4,1.4,4.1
業種別,,その他小売業,344,8.1,44.2,11.6,28.5,1.5,1.5,1.2,3.5
