表側１,表側２,表側３,回答企業数(件),非常に負担感がある(％),少し負担感がある(％),あまり負担感がない(％),まったく負担感がない(％),借入はない(％),無回答(％)
,,今回調査（全体）,760,18.7,25.5,20.9,2.4,24.6,7.9
業種別,,食料品卸売業,237,20.3,23.6,21.1,3,24.5,7.6
業種別,,生鮮食品卸売業,126,23,26.2,19.8,3.2,21.4,6.3
業種別,,加工食品等卸売業,111,17.1,20.7,22.5,2.7,27.9,9
業種別,,衣料品関連卸売業,145,22.8,26.9,20,0.7,22.8,6.9
業種別,,住関連卸売業,83,19.3,28.9,13.3,1.2,27.7,9.6
業種別,,その他卸売業,288,15.3,25,23.6,3.1,25,8
従業者規模別,,1～5人,399,19.8,22.1,17,1.8,28.8,10.5
従業者規模別,,6～9人,101,20.8,23.8,24.8,0,25.7,5
従業者規模別,,10～49人,208,17.3,30.8,25,5.3,16.3,5.3
従業者規模別,,50人以上,36,11.1,38.9,25,0,19.4,5.6
取引形態別,一次卸,小売直取引卸,219,19.6,26.9,20.5,0.9,25.6,6.4
取引形態別,一次卸,他部門直取引卸,50,14,28,26,2,28,2
取引形態別,一次卸,元卸,154,11,30.5,26,3.9,21.4,7.1
取引形態別,二次卸,中間卸,85,23.5,20,14.1,4.7,18.8,18.8
取引形態別,二次卸,最終卸,135,21.5,18.5,20,3,29.6,7.4
取引形態別,その他,製造問屋,19,26.3,31.6,26.3,5.3,10.5,0
取引形態別,その他,その他卸,77,23.4,28.6,18.2,0,26,3.9
売上高規模別,,5千万円未満,227,19.8,18.1,15.9,0.9,34.4,11
売上高規模別,,5千万～1億円未満,95,24.2,18.9,25.3,1.1,23.2,7.4
売上高規模別,,1～3億円未満,146,25.3,28.8,17.8,2.1,19.2,6.8
売上高規模別,,3～5億円未満,58,12.1,34.5,19,6.9,19,8.6
売上高規模別,,5～10億円未満,91,13.2,36.3,22,4.4,18.7,5.5
売上高規模別,,10～30億円未満,81,9.9,32.1,29.6,4.9,16,7.4
売上高規模別,,30～50億円未満,26,19.2,15.4,30.8,0,30.8,3.8
売上高規模別,,50億円以上,26,11.5,23.1,38.5,0,23.1,3.8
経常損益の変化別(前年同期比),,増益,67,9,19.4,26.9,10.4,29.9,4.5
経常損益の変化別(前年同期比),,横ばい,124,16.1,24.2,29.8,0.8,24.2,4.8
経常損益の変化別(前年同期比),,減益,543,20.8,27.1,19,1.5,23.8,7.9
経常損益の変化別(３年前),,増益,128,13.3,23.4,29.7,2.3,21.9,9.4
経常損益の変化別(３年前),,横ばい,229,13.1,27.5,25.3,1.3,23.1,9.6
経常損益の変化別(３年前),,減益,351,23.6,26.2,16,2.3,25.6,6.3
