区分,集計企業数（社）,平均年間休日日数（日）,就業規則等で決めている／集計企業数（社）,就業規則等で決めている／平均年間休日日数（日）,就業規則等で決めていない／集計企業数（社）,就業規則等で決めていない／平均年間休日日数（日）,無回答（社）
調査産業計,876,115.1,493,113.8,322,117,61
労組有,63,115.4,39,116.9,18,112.1,6
労組無,813,115.1,454,113.5,304,117.3,55
建設業,71,113,44,111.8,22,115.4,5
製造業,207,118.6,132,117.5,66,120.9,9
情報通信業,58,123.7,21,123.3,29,123.9,8
運輸業，郵便業,42,105.7,21,106.5,15,104.5,6
卸売業，小売業,180,110.7,106,109.4,60,113.1,14
金融業，保険業,27,121.2,12,120.7,14,121.6,1
不動産業，物品賃貸業,16,118.8,11,112,5,133.8,0
学術研究，専門・技術サービス業,57,122.5,28,121.5,24,123.7,5
宿泊業，飲食サービス業,43,108.7,20,110.6,20,106.8,3
生活関連サービス業，娯楽業,34,111.2,19,106.6,13,117.9,2
教育，学習支援業（学校教育を除く）,30,108.1,16,103.3,13,113.9,1
医療，福祉,57,118,37,117.5,18,118.9,2
サービス業（他に分類されないもの）,54,112.7,26,113.2,23,112.1,5
10～49人,585,113.9,318,112.6,231,115.8,36
50～99人,188,116.1,120,115,54,118.6,14
100～299人,103,119.9,55,118.4,37,122.1,11
