表側１,表側２,表側３,回答企業数(件),増加(%),変わらない(%),減少(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,14.0,50.0,29.8,0.4,5.9
業種別,,総合商品小売業,189,34.9,52.4,8.5,0.0,4.2
業種別,,生鮮食品小売業,134,5.2,52.2,36.6,0.0,6.0
業種別,,食料品関連小売業,535,11.0,53.6,27.7,0.2,7.5
業種別,,衣料品関連小売業,298,9.4,42.6,41.6,0.7,5.7
業種別,,住関連小売業,167,8.4,52.1,35.9,0.0,3.6
業種別,,その他小売業,773,15.8,48.5,29.1,0.6,6.0
従業者規模別,,１～２人,1066,8.9,45.2,38.9,0.5,6.5
従業者規模別,,３～５人,486,13.2,52.5,27.8,0.2,6.4
従業者規模別,,６～19人,336,21.4,60.4,13.4,0.6,4.2
従業者規模別,,20人以上,170,36.5,51.8,8.2,0.0,3.5
年間売上高増減別（3年前）,,増加（５％以上）,227,38.3,50.2,8.8,0.0,2.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,17.7,63.7,14.5,0.0,4.1
年間売上高増減別（3年前）,,やや減少（10％未満）,450,11.1,55.8,28.7,0.0,4.4
年間売上高増減別（3年前）,,減少（20％未満）,434,10.4,43.3,41.2,0.0,5.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,4.9,37.1,49.0,0.0,9.0
売上高経常利益率別,,黒字（プラス）,1093,17.4,53.7,23.2,0.4,5.3
売上高経常利益率別,,赤字（マイナス）,838,11.0,45.7,37.0,0.4,6.0
経常損益の変化別（3年前）,,増益,316,23.7,53.5,18.0,0.0,4.7
経常損益の変化別（3年前）,,横ばい,702,14.5,55.4,25.1,0.0,5.0
経常損益の変化別（3年前）,,減益,999,11.5,45.4,37.2,0.0,5.8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
