表側１,表側２,表側３,回答企業数(件),従業員を雇用している(%),従業員は雇用していない(%),無回答(%)
,,"今回調査
（全体）",2141,47.6,45.7,6.7
業種別,,総合商品小売業,189,96.3,2.1,1.6
業種別,,生鮮食品小売業,134,53.0,35.1,11.9
業種別,,食料品関連小売業,535,40.6,53.5,6.0
業種別,,衣料品関連小売業,298,35.6,55.0,9.4
業種別,,住関連小売業,167,37.1,58.1,4.8
業種別,,その他小売業,773,47.5,46.4,6.1
年間売上高増減別（3年前）,,増加（５％以上）,227,74.4,24.7,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,58.2,38.1,3.7
年間売上高増減別（3年前）,,やや減少（10％未満）,450,49.1,46.2,4.7
年間売上高増減別（3年前）,,減少（20％未満）,434,38.9,52.1,9.0
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,29.4,59.3,11.2
売上高経常利益率別,,黒字（プラス）,1093,54.1,41.1,4.8
売上高経常利益率別,,赤字（マイナス）,838,41.4,51.7,6.9
経常損益の変化別（3年前）,,増益,316,66.1,29.4,4.4
経常損益の変化別（3年前）,,横ばい,702,46.9,47.4,5.7
経常損益の変化別（3年前）,,減益,999,43.3,49.4,7.2
