表側１,表側２,表側３,回答企業数(件),現事業を維持(％),現事業の拡大(％),現事業に加え、新たな事業を展開(％),現事業を一部縮小し、新たな事業を展開(％),現事業を一部縮小(％),その他(％),わからない・まだ決めていない(％),廃業の予定(％),無回答(％)
,,今回調査（全体）,760,41.1,13.2,16.6,2.1,3,0.1,12.2,5.8,5.9
,,前回調査,823,35.6,24.4,14.5,4.1,1.7,5.3,0.9,9.6,3.9
業種別,,食料品卸売業,237,40.9,17.3,14.8,2.1,3,0,11,5.9,5.1
業種別,,生鮮食品卸売業,126,43.7,17.5,14.3,0.8,3.2,0,13.5,4,3.2
業種別,,加工食品等卸売業,111,37.8,17.1,15.3,3.6,2.7,0,8.1,8.1,7.2
業種別,,衣料品関連卸売業,145,40,12.4,15.2,1.4,3.4,0.7,13.1,5.5,8.3
業種別,,住関連卸売業,83,36.1,10.8,24.1,4.8,2.4,0,13.3,4.8,3.6
業種別,,その他卸売業,288,43.4,10.8,16.3,1.4,3.1,0,12.8,6.3,5.9
従業者規模別,,1～5人,399,41.4,7.3,10,1.8,3,0,18.3,10,8.3
従業者規模別,,6～9人,101,50.5,12.9,22.8,4,2,0,5,1,2
従業者規模別,,10～49人,208,39.4,21.2,22.6,2.4,3.4,0.5,6.3,1,3.4
従業者規模別,,50人以上,36,27.8,30.6,38.9,0,2.8,0,0,0,0
取引形態別,一次卸,小売直取引卸,219,41.6,13.7,14.6,2.7,2.7,0.5,13.7,5.5,5
取引形態別,一次卸,他部門直取引卸,50,48,16,18,2,0,0,6,6,4
取引形態別,一次卸,元卸,154,43.5,16.2,19.5,1.9,1.9,0,8.4,2.6,5.8
取引形態別,二次卸,中間卸,85,36.5,5.9,17.6,2.4,4.7,0,20,3.5,9.4
取引形態別,二次卸,最終卸,135,43.7,14.8,16.3,1.5,3.7,0,5.9,9.6,4.4
取引形態別,その他,製造問屋,19,36.8,15.8,31.6,0,5.3,0,0,5.3,5.3
取引形態別,その他,その他卸,77,33.8,9.1,13,2.6,3.9,0,22.1,10.4,5.2
売上高増減別(前年同期比),,増加,56,37.5,30.4,17.9,1.8,0,0,7.1,1.8,3.6
売上高増減別(前年同期比),,横ばい,108,44.4,19.4,17.6,1.9,2.8,0,10.2,0.9,2.8
売上高増減別(前年同期比),,減少,585,40.3,10.6,15.9,2.2,3.4,0.2,13.3,7.2,6.8
売上高増減別(３年前),,増加,136,36.8,30.1,18.4,1.5,1.5,0,6.6,1.5,3.7
売上高増減別(３年前),,横ばい,130,50,15.4,16.9,1.5,1.5,0,10,2.3,2.3
売上高増減別(３年前),,減少,443,40,7.7,15.3,2.5,4.1,0.2,14.4,7.9,7.9
経常損益の変化別(前年同期比),,増益,67,41.8,23.9,16.4,1.5,0,0,10.4,3,3
経常損益の変化別(前年同期比),,横ばい,124,47.6,15.3,14.5,1.6,3.2,0,12.1,2.4,3.2
経常損益の変化別(前年同期比),,減益,543,38.9,11.4,16.4,2.4,3.5,0.2,13.1,7,7.2
経常損益の変化別(３年前),,増益,128,39.8,18.8,11.7,0.8,3.9,0,15.6,5.5,3.9
経常損益の変化別(３年前),,横ばい,229,47.6,13.5,14,2.2,2.6,0,11.4,2.6,6.1
経常損益の変化別(３年前),,減益,351,37.9,11.7,18.8,2.6,2.8,0.3,11.7,7.7,6.6
